,tm_score,dockq_wave,qs_best,ips,dockq_ave,qs_global,ilddt,rmsd,lddt,ics,oligo_gdtha,oligo_gdtts
tm_score,0.012049056869078692,0.01623374006977506,0.017191770109938248,0.008178998516484924,0.013438308576591708,0.017045064828039552,0.015442760411992808,-0.27496251526098153,0.008463016023693362,0.014732038919185588,0.013220996525550095,0.013505040449274412
dockq_wave,0.01623374006977506,0.022016367575987433,0.023241534017996984,0.011083548928440604,0.01825476473075934,0.023056633684474085,0.020982848121205384,-0.3706331911336338,0.011499478564227457,0.019999815770483938,0.017948290513145834,0.018263134232462227
qs_best,0.017191770109938248,0.023241534017996984,0.02469351462514108,0.011734000088062317,0.019258914992323004,0.024490279071534206,0.022207429604468632,-0.39257195371226655,0.012219479816520433,0.02112948704742951,0.018870363955697956,0.019289321811833345
ips,0.008178998516484924,0.011083548928440604,0.011734000088062317,0.006120052721480767,0.009209285610504325,0.011690035119058476,0.010537111343201368,-0.18662060299641112,0.005811833110091455,0.010214936439977094,0.00896084803332065,0.009159980507603789
dockq_ave,0.013438308576591708,0.01825476473075934,0.019258914992323004,0.009209285610504325,0.015190884965429695,0.01911804449854281,0.01747685009215468,-0.3067746762820976,0.009637579414727019,0.01660853626985781,0.01488874975974566,0.01515334491723838
qs_global,0.017045064828039552,0.023056633684474085,0.024490279071534206,0.011690035119058476,0.01911804449854281,0.024374817650626514,0.022098821276469338,-0.3891550228681131,0.012200956547033747,0.021025096511360048,0.018723166596195297,0.019137723674460334
ilddt,0.015442760411992808,0.020982848121205384,0.022207429604468632,0.010537111343201368,0.01747685009215468,0.022098821276469338,0.02080191005013013,-0.3523618622235582,0.011881458052164857,0.019158959961914468,0.01727510175183474,0.017515568242113092
rmsd,-0.27496251526098153,-0.3706331911336338,-0.39257195371226655,-0.18662060299641112,-0.3067746762820976,-0.3891550228681131,-0.3523618622235582,6.279048045291637,-0.1929666424649732,-0.33620247217997556,-0.30159467007933033,-0.3081514747474404
lddt,0.008463016023693362,0.011499478564227457,0.012219479816520433,0.005811833110091455,0.009637579414727019,0.012200956547033747,0.011881458052164857,-0.1929666424649732,0.007162851197025996,0.010578947973218724,0.009527260715133818,0.009668856450302426
ics,0.014732038919185588,0.019999815770483938,0.02112948704742951,0.010214936439977094,0.01660853626985781,0.021025096511360048,0.019158959961914468,-0.33620247217997556,0.010578947973218724,0.018381293229920777,0.016264020514177385,0.016578151559897624
oligo_gdtha,0.013220996525550095,0.017948290513145834,0.018870363955697956,0.00896084803332065,0.01488874975974566,0.018723166596195297,0.01727510175183474,-0.30159467007933033,0.009527260715133818,0.016264020514177385,0.015283147679069603,0.015170874713297014
oligo_gdtts,0.013505040449274412,0.018263134232462227,0.019289321811833345,0.009159980507603789,0.01515334491723838,0.019137723674460334,0.017515568242113092,-0.3081514747474404,0.009668856450302426,0.016578151559897624,0.015170874713297014,0.015323298907429951
