,qs_best,oligo_gdtts,ics,ilddt,qs_global,dockq_ave,dockq_wave,oligo_gdtha,ips,rmsd,lddt,tm_score
qs_best,0.023278454302280382,0.0021603184942217478,0.02472961071082932,0.013248011766032915,0.022846235242495096,0.0005855490015442762,0.00019379545698953145,0.0033121150359208405,0.013344504069665256,0.06071460950108457,0.021654393353041847,8.167406514522208e-05
oligo_gdtts,0.0021603184942217478,0.0014283818917254264,0.0020368317659030773,0.001509186911310866,0.0019689838693395163,0.001002789207680317,0.0006388406396043804,0.0016175614156698132,0.0012533937543262846,0.015233395526632065,0.0017484044817263427,0.0006165749404565319
ics,0.02472961071082932,0.0020368317659030773,0.026691356959440655,0.013924025261281201,0.024402623486962923,0.00028268388795521976,-3.2260859860439245e-05,0.0032840124650874427,0.014237755291298417,0.079664037870685,0.02321851443674516,-0.00018516942939706633
ilddt,0.013248011766032915,0.001509186911310866,0.013924025261281201,0.01010897350102614,0.012838543887127492,0.0005542349214837711,0.0002800026132583733,0.002171574547287051,0.007776864389962454,0.06312753695809357,0.01424189730770198,-0.000250157772461581
qs_global,0.022846235242495096,0.0019689838693395163,0.024402623486962923,0.012838543887127492,0.022550539751195534,0.00048795014362655755,0.00011626907173862084,0.0030729427373522365,0.013171388251154556,0.05637936447401713,0.02121955482649013,4.987452443534239e-05
dockq_ave,0.0005855490015442762,0.001002789207680317,0.00028268388795521976,0.0005542349214837711,0.00048795014362655755,0.0009512984066127138,0.0006111733390841304,0.0010461862823857638,0.00039103991766568507,-0.0072877564723162255,0.00020293427666959144,0.0006403900999031888
dockq_wave,0.00019379545698953145,0.0006388406396043804,-3.2260859860439245e-05,0.0002800026132583733,0.00011626907173862084,0.0006111733390841304,0.0004164399788199731,0.0006658730673954982,0.00014548232082792,-0.010613410024093304,-2.9503584942867013e-05,0.0004499378561267498
oligo_gdtha,0.0033121150359208405,0.0016175614156698132,0.0032840124650874427,0.002171574547287051,0.0030729427373522365,0.0010461862823857638,0.0006658730673954982,0.0019019635752860725,0.001909948401849235,0.02072497611295366,0.0028452688318443753,0.0006383988048946155
ips,0.013344504069665256,0.0012533937543262846,0.014237755291298417,0.007776864389962454,0.013171388251154556,0.00039103991766568507,0.00014548232082792,0.001909948401849235,0.008105727824486543,0.030771135843034085,0.01268111274607581,8.554530071987818e-05
rmsd,0.06071460950108457,0.015233395526632065,0.079664037870685,0.06312753695809357,0.05637936447401713,-0.0072877564723162255,-0.010613410024093304,0.02072497611295366,0.030771135843034085,8.715464976190582,0.09444708196200095,-0.05606994136746698
lddt,0.021654393353041847,0.0017484044817263427,0.02321851443674516,0.01424189730770198,0.02121955482649013,0.00020293427666959144,-2.9503584942867013e-05,0.0028452688318443753,0.01268111274607581,0.09444708196200095,0.022207438328384572,-0.0005252733273661368
tm_score,8.167406514522208e-05,0.0006165749404565319,-0.00018516942939706633,-0.000250157772461581,4.987452443534239e-05,0.0006403900999031888,0.0004499378561267498,0.0006383988048946155,8.554530071987818e-05,-0.05606994136746698,-0.0005252733273661368,0.0017155855169022304
