,dockq_ave,tm_score,dockq_wave,oligo_gdtha,lddt,rmsd,qs_best,oligo_gdtts,qs_global,ics,ilddt,ips
dockq_ave,0.001329866363029819,6.0467173182202996e-05,0.001329866363029819,0.0005518129208881996,0.000421929244672048,-0.0027936457747063407,0.0010523304642165742,0.00040051281777875704,0.001084402864214301,0.0010885010536446837,0.0010178640578694252,0.0006138101973881465
tm_score,6.0467173182202996e-05,9.526938738410077e-06,6.0467173182202996e-05,4.484228912114909e-05,2.5318228073541976e-05,-0.0010480427269654402,4.486208226789022e-05,3.22355720475257e-05,4.287245672843556e-05,5.037108196743045e-05,5.370774916221612e-05,3.0311845513839774e-05
dockq_wave,0.001329866363029819,6.0467173182202996e-05,0.001329866363029819,0.0005518129208881996,0.000421929244672048,-0.0027936457747063407,0.0010523304642165742,0.00040051281777875704,0.001084402864214301,0.0010885010536446837,0.0010178640578694252,0.0006138101973881465
oligo_gdtha,0.0005518129208881996,4.484228912114909e-05,0.0005518129208881996,0.0005203855400289987,0.0002599869238795412,-0.0012705279626842932,0.000409814990809468,0.0003242198596613267,0.0004176013725201817,0.00045836147782941873,0.0005538224630721757,0.000282576819201522
lddt,0.000421929244672048,2.5318228073541976e-05,0.000421929244672048,0.0002599869238795412,0.00036693030786390273,-0.0003036532957148516,0.00035868795768820283,0.0001759481248725731,0.0004231765971864095,0.0004151123778198874,0.0006652946249745152,0.00029367050617047045
rmsd,-0.0027936457747063407,-0.0010480427269654402,-0.0027936457747063407,-0.0012705279626842932,-0.0003036532957148516,0.19938341134629942,-0.0022619966843386652,-0.0014377255490964434,-0.0014133365043721294,-0.0017476386830206792,-0.0012489386393088418,1.407857403459934e-05
qs_best,0.0010523304642165742,4.486208226789022e-05,0.0010523304642165742,0.000409814990809468,0.00035868795768820283,-0.0022619966843386652,0.000953543526734289,0.00030794588980892425,0.00098965501212254,0.0009164709743132197,0.0008406844318628699,0.000517303397072664
oligo_gdtts,0.00040051281777875704,3.22355720475257e-05,0.00040051281777875704,0.0003242198596613267,0.0001759481248725731,-0.0014377255490964434,0.00030794588980892425,0.00022211756354312704,0.0003181152820060609,0.00032876535746815996,0.00038241925457585654,0.00019003739618832758
qs_global,0.001084402864214301,4.287245672843556e-05,0.001084402864214301,0.0004176013725201817,0.0004231765971864095,-0.0014133365043721294,0.00098965501212254,0.0003181152820060609,0.0011937036758342648,0.0010030849291836647,0.0009075605597072157,0.0006417322034743489
ics,0.0010885010536446837,5.037108196743045e-05,0.0010885010536446837,0.00045836147782941873,0.0004151123778198874,-0.0017476386830206792,0.0009164709743132197,0.00032876535746815996,0.0010030849291836647,0.0011997595542717994,0.0009992223269815986,0.0007880281687927133
ilddt,0.0010178640578694252,5.370774916221612e-05,0.0010178640578694252,0.0005538224630721757,0.0006652946249745152,-0.0012489386393088418,0.0008406844318628699,0.00038241925457585654,0.0009075605597072157,0.0009992223269815986,0.0015716022560989865,0.0006419119026706196
ips,0.0006138101973881465,3.0311845513839774e-05,0.0006138101973881465,0.000282576819201522,0.00029367050617047045,1.407857403459934e-05,0.000517303397072664,0.00019003739618832758,0.0006417322034743489,0.0007880281687927133,0.0006419119026706196,0.0008679081039224498
