,rmsd,ips,lddt,oligo_gdtts,ics,oligo_gdtha,qs_best,ilddt,qs_global,dockq_ave,tm_score,dockq_wave
rmsd,122.7331754650774,-1.2436777990078285,-0.2727184792717521,-1.1504066333258982,-1.1964634467049506,-0.7087464386023059,-1.6824229087907763,-1.3168839383421476,-1.5758482657405988,-1.5391980647162704,-1.589792183051497,-1.5266947176387455
ips,-1.2436777990078285,0.015738478876824634,0.004668271596488625,0.012882620829325923,0.01599505477240441,0.00781673690454875,0.020212177494161276,0.01604586765538372,0.02029828557802406,0.017302129137936734,0.017914042764635527,0.01726062285227101
lddt,-0.2727184792717521,0.004668271596488625,0.0026316013600228448,0.0033889671755874817,0.005794548839241324,0.001973681097380091,0.006420069867509039,0.004714515178584036,0.006884021329512483,0.004580495071894163,0.004731226155789242,0.004292467318835502
oligo_gdtts,-1.1504066333258982,0.012882620829325923,0.0033889671755874817,0.013712719252514518,0.01328090336250347,0.00915825278130368,0.018426153532379787,0.013996508159560017,0.017109670129066026,0.017397992917612865,0.016763369906555286,0.017183726228597977
ics,-1.1964634467049506,0.01599505477240441,0.005794548839241324,0.01328090336250347,0.018158846632225667,0.008017341671189076,0.021839954740347285,0.01662196474201526,0.022169835445565982,0.018308964057142402,0.018300207197291807,0.017837382339232585
oligo_gdtha,-0.7087464386023059,0.00781673690454875,0.001973681097380091,0.00915825278130368,0.008017341671189076,0.006425006279153719,0.011385103477134123,0.0086428532838855,0.010399607372490564,0.011132016740208278,0.010384605963979058,0.010993677648644121
qs_best,-1.6824229087907763,0.020212177494161276,0.006420069867509039,0.018426153532379787,0.021839954740347285,0.011385103477134123,0.02877120954388683,0.02135130352970729,0.027479590213660206,0.024981969446843104,0.024842263272871177,0.024647521494827192
ilddt,-1.3168839383421476,0.01604586765538372,0.004714515178584036,0.013996508159560017,0.01662196474201526,0.0086428532838855,0.02135130352970729,0.0170787035991343,0.021070955404185077,0.018909028003158385,0.01903582374703679,0.018769273193316383
qs_global,-1.5758482657405988,0.02029828557802406,0.006884021329512483,0.017109670129066026,0.022169835445565982,0.010399607372490564,0.027479590213660206,0.021070955404185077,0.02790969253210853,0.023108362277079034,0.02354236783691395,0.02266385794470894
dockq_ave,-1.5391980647162704,0.017302129137936734,0.004580495071894163,0.017397992917612865,0.018308964057142402,0.011132016740208278,0.024981969446843104,0.018909028003158385,0.023108362277079034,0.02399574991774562,0.022512255703356954,0.023485528985326895
tm_score,-1.589792183051497,0.017914042764635527,0.004731226155789242,0.016763369906555286,0.018300207197291807,0.010384605963979058,0.024842263272871177,0.01903582374703679,0.02354236783691395,0.022512255703356954,0.022825191365492287,0.02229742271536413
dockq_wave,-1.5266947176387455,0.01726062285227101,0.004292467318835502,0.017183726228597977,0.017837382339232585,0.010993677648644121,0.024647521494827192,0.018769273193316383,0.02266385794470894,0.023485528985326895,0.02229742271536413,0.023668876972275554
