,oligo_gdtts,lddt,rmsd,oligo_gdtha,qs_best,tm_score,ips,dockq_ave,ilddt,ics,dockq_wave,qs_global
oligo_gdtts,0.06231433028211281,0.07900432266819768,-4.34176743611358,0.043176159918315186,0.06435867346286338,0.07787413046740436,0.04523983000156583,0.06638021645832246,0.06858860953729319,0.04953350035883925,0.06386398288010853,0.04898401876402733
lddt,0.07900432266819768,0.11126277342241243,-3.9518408633018423,0.054545152513179235,0.08979526118273398,0.0989346354715799,0.0587955609374184,0.08334619891434836,0.09014393992379564,0.06894312573725138,0.08044149684221517,0.06986740304817585
rmsd,-4.34176743611358,-3.9518408633018423,1026.3008578994738,-2.8874719276319247,-3.1333562577117795,-6.732844909676912,-3.5294856599509394,-5.757503823137952,-4.747013374523727,-2.3575212212798156,-5.694829978025997,-1.9084653361866502
oligo_gdtha,0.043176159918315186,0.054545152513179235,-2.8874719276319247,0.030057039400542836,0.044526507326843746,0.05325133120857036,0.031107785949162272,0.04553673203846761,0.04722168328853281,0.03434763690041231,0.04377857048906518,0.03398757510830421
qs_best,0.06435867346286338,0.08979526118273398,-3.1333562577117795,0.044526507326843746,0.08344716038806826,0.07996105285375021,0.05435770817892375,0.06735216050550656,0.07327046490552745,0.06756431924291453,0.06489349099639852,0.07017917999373663
tm_score,0.07787413046740436,0.0989346354715799,-6.732844909676912,0.05325133120857036,0.07996105285375021,0.10367339479487453,0.057949370269847006,0.08657514313768978,0.08695719235737781,0.06081648980244273,0.08379112725090039,0.05979359598622053
ips,0.04523983000156583,0.0587955609374184,-3.5294856599509394,0.031107785949162272,0.05435770817892375,0.057949370269847006,0.039997695808758275,0.04918618675296208,0.05077071971397252,0.045987331280338266,0.04764707573464168,0.04706482013675036
dockq_ave,0.06638021645832246,0.08334619891434836,-5.757503823137952,0.04553673203846761,0.06735216050550656,0.08657514313768978,0.04918618675296208,0.07417286329531816,0.07453635893705308,0.05101042234067549,0.07162011305391724,0.04973337781199435
ilddt,0.06858860953729319,0.09014393992379564,-4.747013374523727,0.04722168328853281,0.07327046490552745,0.08695719235737781,0.05077071971397252,0.07453635893705308,0.07815657611957834,0.055580247644710014,0.07173982629573565,0.05499191557492567
ics,0.04953350035883925,0.06894312573725138,-2.3575212212798156,0.03434763690041231,0.06756431924291453,0.06081648980244273,0.045987331280338266,0.05101042234067549,0.055580247644710014,0.05913350931024587,0.04921420538650243,0.06218742541364376
dockq_wave,0.06386398288010853,0.08044149684221517,-5.694829978025997,0.04377857048906518,0.06489349099639852,0.08379112725090039,0.04764707573464168,0.07162011305391724,0.07173982629573565,0.04921420538650243,0.06949534046662152,0.04791679216034244
qs_global,0.04898401876402733,0.06986740304817585,-1.9084653361866502,0.03398757510830421,0.07017917999373663,0.05979359598622053,0.04706482013675036,0.04973337781199435,0.05499191557492567,0.06218742541364376,0.04791679216034244,0.06639076319223339
