,qs_global,ics,dockq_ave,ips,qs_best,tm_score,dockq_wave,lddt,oligo_gdtha,rmsd,ilddt,oligo_gdtts
qs_global,0.019054125234605385,0.019125877297934028,0.00974259738390962,0.013061844094458272,0.033383104549523764,0.0014886554932152748,0.010656991056383536,0.005065739043945447,0.0013746083115785707,-0.1644687969589623,0.022658888974485526,0.001544333692884415
ics,0.019125877297934028,0.019520920960869586,0.01033471100070575,0.013051726536020264,0.03410761564786176,0.0014848797029078178,0.011233855588967027,0.005172094815779156,0.0014088922551966354,-0.15419224170550447,0.023230093668221718,0.0015643898383806924
dockq_ave,0.00974259738390962,0.01033471100070575,0.014659464726717168,0.010012070078114244,0.02167270889487136,0.000763278753493919,0.014171704398474157,0.0017747707572492823,0.0005198462348981921,-1.381176136156329,0.013667613177618828,0.00039754129371440816
ips,0.013061844094458272,0.013051726536020264,0.010012070078114244,0.011255228923481264,0.023262556294597433,0.0009003706532128671,0.010202536521862036,0.0027872733865614975,0.0006194261425766152,-0.7694024760640954,0.015171302454914373,0.0006575964755700527
qs_best,0.033383104549523764,0.03410761564786176,0.02167270889487136,0.023262556294597433,0.06449437488581955,0.003025286631349389,0.023068310732397873,0.009125898175462693,0.002876030093983033,-0.7137044590490776,0.04320717699412886,0.0031150048269110945
tm_score,0.0014886554932152748,0.0014848797029078178,0.000763278753493919,0.0009003706532128671,0.003025286631349389,0.000423096748569524,0.0008922866562292061,0.0005118790478900334,0.0002814847715150502,-0.042436567994057824,0.002033891508608191,0.0003554228162417268
dockq_wave,0.010656991056383536,0.011233855588967027,0.014171704398474157,0.010202536521862036,0.023068310732397873,0.0008922866562292061,0.01387598225836252,0.002168673455701544,0.0006595095120718496,-1.2429241856778965,0.014738954401624526,0.0005740184850270987
lddt,0.005065739043945447,0.005172094815779156,0.0017747707572492823,0.0027872733865614975,0.009125898175462693,0.0005118790478900334,0.002168673455701544,0.0018026031511001802,0.0004832552394152688,0.15666195599096056,0.006387011615030487,0.0005604871521744725
oligo_gdtha,0.0013746083115785707,0.0014088922551966354,0.0005198462348981921,0.0006194261425766152,0.002876030093983033,0.0002814847715150502,0.0006595095120718496,0.0004832552394152688,0.0003369295936660249,0.032925144412680935,0.0019826121462372453,0.00037302539234343885
rmsd,-0.1644687969589623,-0.15419224170550447,-1.381176136156329,-0.7694024760640954,-0.7137044590490776,-0.042436567994057824,-1.2429241856778965,0.15666195599096056,0.032925144412680935,274.22453037138143,-0.27585446785640455,0.054756529804439846
ilddt,0.022658888974485526,0.023230093668221718,0.013667613177618828,0.015171302454914373,0.04320717699412886,0.002033891508608191,0.014738954401624526,0.006387011615030487,0.0019826121462372453,-0.27585446785640455,0.029469503763864206,0.002165952737616972
oligo_gdtts,0.001544333692884415,0.0015643898383806924,0.00039754129371440816,0.0006575964755700527,0.0031150048269110945,0.0003554228162417268,0.0005740184850270987,0.0005604871521744725,0.00037302539234343885,0.054756529804439846,0.002165952737616972,0.0004422368419683635
