,oligo_gdtha,oligo_gdtts,tm_score,dockq_ave,ips,qs_best,rmsd,ilddt,lddt,ics,qs_global,dockq_wave
oligo_gdtha,0.002915424859712949,0.0029241407995773284,0.0015608418134728525,0.0007629203815070914,0.00013073212569004514,-0.0004040308310008894,-0.019435839592544916,0.0001079387328687409,0.0001426499696505525,-0.00017147909771306636,-0.0002658404768277087,0.001442253307020722
oligo_gdtts,0.0029241407995773284,0.0029435530035485245,0.001585060497195787,0.0007768264931902571,0.00012724512763948576,-0.000373005213191265,-0.019763891483752315,9.590661014714478e-05,0.00012959962518639486,-0.0001581964183357113,-0.00024083550181231287,0.0014660424263096068
tm_score,0.0015608418134728525,0.001585060497195787,0.0009367868090847659,0.0004341707967876869,4.441000736671672e-05,-0.0001842400790969145,-0.011006903880924032,3.872753253235472e-06,3.043958306050963e-05,-7.567031467722061e-05,-0.00012814757368593811,0.0008386056284209548
dockq_ave,0.0007629203815070914,0.0007768264931902571,0.0004341707967876869,0.0005218203480714754,0.0003556320235792201,-8.483630338896944e-05,-0.0129668714903898,8.340256909550064e-05,2.391141125534015e-05,-7.40888433217663e-05,1.0073465356451207e-05,0.0005523125161705696
ips,0.00013073212569004514,0.00012724512763948576,4.441000736671672e-05,0.0003556320235792201,0.0014471352046397164,-0.0003406860141767774,-0.008865194998125396,0.00013262684072467589,5.6279514304487616e-05,3.397806497600612e-05,2.972772451114123e-05,0.0001730194539352088
qs_best,-0.0004040308310008894,-0.000373005213191265,-0.0001842400790969145,-8.483630338896944e-05,-0.0003406860141767774,0.000968964160831262,0.0019410253266757323,0.00011963796369049271,8.677600463065301e-05,0.00048251443127509427,0.0006433861775305532,-0.00013294809449123306
rmsd,-0.019435839592544916,-0.019763891483752315,-0.011006903880924032,-0.0129668714903898,-0.008865194998125396,0.0019410253266757323,0.38991093459565274,-0.003114788239189916,-0.0014666335565619631,0.002106883170902227,-0.0004398806876499412,-0.013582943451398054
ilddt,0.0001079387328687409,9.590661014714478e-05,3.872753253235472e-06,8.340256909550064e-05,0.00013262684072467589,0.00011963796369049271,-0.003114788239189916,0.0004356779382140104,0.0003119724829398495,0.00016556267122668785,0.00016653913691504533,6.745803192282325e-07
lddt,0.0001426499696505525,0.00012959962518639486,3.043958306050963e-05,2.391141125534015e-05,5.6279514304487616e-05,8.677600463065301e-05,-0.0014666335565619631,0.0003119724829398495,0.0002697153514560789,0.00013762802306138003,0.00010782049094199913,-5.533657995105125e-06
ics,-0.00017147909771306636,-0.0001581964183357113,-7.567031467722061e-05,-7.40888433217663e-05,3.397806497600612e-05,0.00048251443127509427,0.002106883170902227,0.00016556267122668785,0.00013762802306138003,0.0005547410685321641,0.00044156853373831536,-6.818636973841637e-05
qs_global,-0.0002658404768277087,-0.00024083550181231287,-0.00012814757368593811,1.0073465356451207e-05,2.972772451114123e-05,0.0006433861775305532,-0.0004398806876499412,0.00016653913691504533,0.00010782049094199913,0.00044156853373831536,0.0005805875268958022,-6.015308836725638e-05
dockq_wave,0.001442253307020722,0.0014660424263096068,0.0008386056284209548,0.0005523125161705696,0.0001730194539352088,-0.00013294809449123306,-0.013582943451398054,6.745803192282325e-07,-5.533657995105125e-06,-6.818636973841637e-05,-6.015308836725638e-05,0.0008725941753623455
