,ics,tm_score,lddt,ips,rmsd,ilddt,qs_best,dockq_ave,dockq_wave,oligo_gdtts,qs_global,oligo_gdtha
ics,0.07480827324192235,0.07869644711875395,0.09184144144066902,0.04285406356177816,-2.333294149106953,0.0789817643149557,0.09023784576635241,0.04549659469480049,0.04322791802441305,0.07151298882950362,0.08990466179830026,0.05041126360826398
tm_score,0.07869644711875395,0.08529157869070295,0.0967721387938344,0.04403664993622678,-2.545739205114973,0.08236511241141767,0.09619637369120561,0.048870732528119055,0.046281010159054,0.07533657471246537,0.09536345867842402,0.052771684109412714
lddt,0.09184144144066902,0.0967721387938344,0.1144140280629465,0.05183480678559159,-2.861623095518951,0.09735793974324818,0.11033539459347068,0.05440590797095519,0.05167179817649179,0.08780528275282411,0.11030156068982615,0.061518051969055805
ips,0.04285406356177816,0.04403664993622678,0.05183480678559159,0.026653757081238592,-1.2992229876094383,0.0457636569060645,0.05102455448710689,0.026432728081090467,0.02515576353572015,0.04133113788254817,0.05066930029366453,0.029902563255473226
rmsd,-2.333294149106953,-2.545739205114973,-2.861623095518951,-1.2992229876094383,78.1014606333357,-2.4225771348896004,-2.8717372938494923,-1.472253487068611,-1.3999660667653482,-2.2310292276069705,-2.8312923138480044,-1.5617402559848814
ilddt,0.0789817643149557,0.08236511241141767,0.09735793974324818,0.0457636569060645,-2.4225771348896004,0.08431884647217179,0.09481444875792089,0.04773519888867107,0.04525880011228908,0.07596036214868025,0.09473708766019034,0.05383743636667718
qs_best,0.09023784576635241,0.09619637369120561,0.11033539459347068,0.05102455448710689,-2.8717372938494923,0.09481444875792089,0.11051188596370529,0.056241200169702445,0.05342604748650072,0.08656010331470096,0.10954719618692897,0.06093641542777545
dockq_ave,0.04549659469480049,0.048870732528119055,0.05440590797095519,0.026432728081090467,-1.472253487068611,0.04773519888867107,0.056241200169702445,0.030330011253777468,0.028527796643761604,0.04422610088478411,0.05546158408663768,0.0316491296165486
dockq_wave,0.04322791802441305,0.046281010159054,0.05167179817649179,0.02515576353572015,-1.3999660667653482,0.04525880011228908,0.05342604748650072,0.028527796643761604,0.02715066007650249,0.041846813479702476,0.052523488944187575,0.02995338103878192
oligo_gdtts,0.07151298882950362,0.07533657471246537,0.08780528275282411,0.04133113788254817,-2.2310292276069705,0.07596036214868025,0.08656010331470096,0.04422610088478411,0.041846813479702476,0.0700423133108565,0.08625689761699715,0.05016188402974773
qs_global,0.08990466179830026,0.09536345867842402,0.11030156068982615,0.05066930029366453,-2.8312923138480044,0.09473708766019034,0.10954719618692897,0.05546158408663768,0.052523488944187575,0.08625689761699715,0.10913122996929174,0.06063159426916456
oligo_gdtha,0.05041126360826398,0.052771684109412714,0.061518051969055805,0.029902563255473226,-1.5617402559848814,0.05383743636667718,0.06093641542777545,0.0316491296165486,0.02995338103878192,0.05016188402974773,0.06063159426916456,0.036572732588228594
