,oligo_gdtts,lddt,ips,ilddt,rmsd,oligo_gdtha,ics,tm_score,dockq_wave,qs_global,qs_best,dockq_ave
oligo_gdtts,0.0001524712851960256,3.539718404964231e-05,0.0006483106552469817,0.0005337928174482355,-0.002121189592568907,0.00016075862752929073,0.0006296981770197895,7.188172274690585e-05,0.0004440401682003145,0.0008623944586052784,0.0008486547363425235,0.0004440401682003145
lddt,3.539718404964231e-05,0.00011651916208341448,0.00011003605516794083,0.0005267891518447467,-7.69862553128862e-05,3.474523296050509e-05,0.00021104464091359476,5.251300144224911e-06,-2.816397287398327e-07,0.000160374521796925,1.3504822987604855e-05,-2.816397287398327e-07
ips,0.0006483106552469817,0.00011003605516794083,0.005692932474616812,0.003774378611102246,-0.011038698342048387,0.0005821709953328693,0.005502425026833724,0.00040688584708901856,0.0034532858376855567,0.006790405915589535,0.007062044198086604,0.0034532858376855567
ilddt,0.0005337928174482355,0.0005267891518447467,0.003774378611102246,0.005420936681184629,-0.007345794567306689,0.000470755761454169,0.004341065599342396,0.0002677027541726623,0.0020811128173321746,0.004848766812676181,0.0042267545778782575,0.0020811128173321746
rmsd,-0.002121189592568907,-7.69862553128862e-05,-0.011038698342048387,-0.007345794567306689,0.04642995089411055,-0.0021391412164774273,-0.009961370998508958,-0.0014023817924305006,-0.009147615959240137,-0.01476382560868783,-0.016048734925591748,-0.009147615959240137
oligo_gdtha,0.00016075862752929073,3.474523296050509e-05,0.0005821709953328693,0.000470755761454169,-0.0021391412164774273,0.000181495581136678,0.000559812270355745,7.168792279900242e-05,0.0004162163565442572,0.0007914794101595031,0.0007788999559965352,0.0004162163565442572
ics,0.0006296981770197895,0.00021104464091359476,0.005502425026833724,0.004341065599342396,-0.009961370998508958,0.000559812270355745,0.006409110530658892,0.0003677041273934024,0.0034983125586838977,0.007110220790476832,0.007075822938887377,0.0034983125586838977
tm_score,7.188172274690585e-05,5.251300144224911e-06,0.00040688584708901856,0.0002677027541726623,-0.0014023817924305006,7.168792279900242e-05,0.0003677041273934024,4.869220639784316e-05,0.00031594742595170556,0.0005202060419840614,0.0005676758968334641,0.00031594742595170556
dockq_wave,0.0004440401682003145,-2.816397287398327e-07,0.0034532858376855567,0.0020811128173321746,-0.009147615959240137,0.0004162163565442572,0.0034983125586838977,0.00031594742595170556,0.0026300143918225943,0.004429751854992233,0.004918806467804326,0.0026300143918225943
qs_global,0.0008623944586052784,0.000160374521796925,0.006790405915589535,0.004848766812676181,-0.01476382560868783,0.0007914794101595031,0.007110220790476832,0.0005202060419840614,0.004429751854992233,0.009234492535618897,0.009448025704073387,0.004429751854992233
qs_best,0.0008486547363425235,1.3504822987604855e-05,0.007062044198086604,0.0042267545778782575,-0.016048734925591748,0.0007788999559965352,0.007075822938887377,0.0005676758968334641,0.004918806467804326,0.009448025704073387,0.01029444671351614,0.004918806467804326
dockq_ave,0.0004440401682003145,-2.816397287398327e-07,0.0034532858376855567,0.0020811128173321746,-0.009147615959240137,0.0004162163565442572,0.0034983125586838977,0.00031594742595170556,0.0026300143918225943,0.004429751854992233,0.004918806467804326,0.0026300143918225943
