,tm_score,dockq_wave,dockq_ave,ips,ilddt,qs_global,ics,lddt,oligo_gdtts,rmsd,qs_best,oligo_gdtha
tm_score,0.0001709069819749545,0.0009762596895079492,0.0009762596895079492,0.0009913712734209504,0.000665802709989115,0.0014054313739890905,0.0012969467024540248,1.3550144031074894e-05,0.00021338765278550466,-0.004516998783348238,0.001418383936618967,0.00021052465778719068
dockq_wave,0.0009762596895079492,0.006277196948410101,0.006277196948410101,0.006286527430499389,0.00414855116550525,0.008755409375052502,0.008609090625843542,6.54869720640683e-05,0.0011782599734258938,-0.026027332915728823,0.008818504935650439,0.001148471470086612
dockq_ave,0.0009762596895079492,0.006277196948410101,0.006277196948410101,0.006286527430499389,0.00414855116550525,0.008755409375052502,0.008609090625843542,6.54869720640683e-05,0.0011782599734258938,-0.026027332915728823,0.008818504935650439,0.001148471470086612
ips,0.0009913712734209504,0.006286527430499389,0.006286527430499389,0.00750483491725113,0.005114815528250749,0.009317052885029715,0.009476316104023028,0.00021891514445589579,0.0012765223002313866,-0.02582317936997865,0.009275497924554052,0.0012313951723868688
ilddt,0.000665802709989115,0.00414855116550525,0.00414855116550525,0.005114815528250749,0.006262410212853657,0.005961408977336968,0.006859160335395676,0.0006637148430490896,0.0009543720827567045,-0.0170895138966346,0.0058118507201873745,0.0009333146414391882
qs_global,0.0014054313739890905,0.008755409375052502,0.008755409375052502,0.009317052885029715,0.005961408977336968,0.013563703378325938,0.012430464630534651,9.153399368577054e-05,0.0016583458959984103,-0.03718830447498782,0.013564679233747967,0.0016083112989070038
ics,0.0012969467024540248,0.008609090625843542,0.008609090625843542,0.009476316104023028,0.006859160335395676,0.012430464630534651,0.013082240526710677,0.00031601455231481,0.001632500591997078,-0.03397011669678816,0.012411840334045205,0.0015940575045686254
lddt,1.3550144031074894e-05,6.54869720640683e-05,6.54869720640683e-05,0.00021891514445589579,0.0006637148430490896,9.153399368577054e-05,0.00031601455231481,0.00015393497941418825,4.888443709154997e-05,-0.00024203291913698976,5.678360111448749e-05,5.157840391520033e-05
oligo_gdtts,0.00021338765278550466,0.0011782599734258938,0.0011782599734258938,0.0012765223002313866,0.0009543720827567045,0.0016583458959984103,0.001632500591997078,4.888443709154997e-05,0.00033393832607457656,-0.005648085977487209,0.0016688995378172963,0.000339921337848115
rmsd,-0.004516998783348238,-0.026027332915728823,-0.026027332915728823,-0.02582317936997865,-0.0170895138966346,-0.03718830447498782,-0.03397011669678816,-0.00024203291913698976,-0.005648085977487209,0.12310398795622442,-0.037595925337292564,-0.0055805312311340794
qs_best,0.001418383936618967,0.008818504935650439,0.008818504935650439,0.009275497924554052,0.0058118507201873745,0.013564679233747967,0.012411840334045205,5.678360111448749e-05,0.0016688995378172963,-0.037595925337292564,0.013656697394640012,0.001623173649137647
oligo_gdtha,0.00021052465778719068,0.001148471470086612,0.001148471470086612,0.0012313951723868688,0.0009333146414391882,0.0016083112989070038,0.0015940575045686254,5.157840391520033e-05,0.000339921337848115,-0.0055805312311340794,0.001623173649137647,0.0003555987075365146
