,dockq_wave,rmsd,ilddt,lddt,ips,dockq_ave,oligo_gdtha,ics,qs_best,qs_global,tm_score,oligo_gdtts
dockq_wave,0.008699477021604769,-0.21986412422920976,0.003309226567754302,-0.0013570994023207727,0.0023677528196368435,0.0036759606235151673,0.004563392571737446,0.002729699966174815,0.0010751642330386311,0.0013957331294098675,0.0048385023418441465,0.005643920391103308
rmsd,-0.21986412422920976,27.147350663059235,-0.1032507214110235,0.0842379907385941,-0.12727245467052165,-0.0923333406686165,-0.08623740548753855,-0.05717153539383225,-0.04185141299704851,-0.058955294361076965,-0.1895439468351135,-0.13714079650559693
ilddt,0.003309226567754302,-0.1032507214110235,0.03488430803321054,0.04864123346095089,0.012372994120220002,0.0006433422580813821,0.007497726175002777,0.027206972342666662,0.03703227174399914,0.025676732062465967,0.003992306000973629,0.00711989219162653
lddt,-0.0013570994023207727,0.0842379907385941,0.04864123346095089,0.07408039802293229,0.015938672521356726,-0.0017373262880031213,0.00795235273929804,0.03804416005690347,0.05419655630860431,0.036998288822609374,0.0025793143092489065,0.006716154230076934
ips,0.0023677528196368435,-0.12727245467052165,0.012372994120220002,0.015938672521356726,0.005399940614355906,0.0007188842588076193,0.002961211859489352,0.0097062403301574,0.013021052665287518,0.00922241282256666,0.0023362956001595297,0.00313376512932634
dockq_ave,0.0036759606235151673,-0.0923333406686165,0.0006433422580813821,-0.0017373262880031213,0.0007188842588076193,0.0016248897015222297,0.0017487993401857221,0.0005794407952457284,-0.000549128962057769,-7.646786258303238e-05,0.0019304377746343629,0.0021921065165925128
oligo_gdtha,0.004563392571737446,-0.08623740548753855,0.007497726175002777,0.00795235273929804,0.002961211859489352,0.0017487993401857221,0.00433236955921416,0.005709052564226407,0.006488183859313371,0.0046904290471786415,0.002894668435985279,0.004482202414372228
ics,0.002729699966174815,-0.05717153539383225,0.027206972342666662,0.03804416005690347,0.0097062403301574,0.0005794407952457284,0.005709052564226407,0.022171169864087164,0.030659217763052193,0.02107487906506359,0.0030754552433500514,0.0054790600812442075
qs_best,0.0010751642330386311,-0.04185141299704851,0.03703227174399914,0.05419655630860431,0.013021052665287518,-0.000549128962057769,0.006488183859313371,0.030659217763052193,0.04639613263763754,0.031126014773524287,0.003594842944340515,0.006284680497947538
qs_global,0.0013957331294098675,-0.058955294361076965,0.025676732062465967,0.036998288822609374,0.00922241282256666,-7.646786258303238e-05,0.0046904290471786415,0.02107487906506359,0.031126014773524287,0.0211326278303487,0.0028020034622356616,0.0046325437557305175
tm_score,0.0048385023418441465,-0.1895439468351135,0.003992306000973629,0.0025793143092489065,0.0023362956001595297,0.0019304377746343629,0.002894668435985279,0.0030754552433500514,0.003594842944340515,0.0028020034622356616,0.00414926470034265,0.0037227057698082967
oligo_gdtts,0.005643920391103308,-0.13714079650559693,0.00711989219162653,0.006716154230076934,0.00313376512932634,0.0021921065165925128,0.004482202414372228,0.0054790600812442075,0.006284680497947538,0.0046325437557305175,0.0037227057698082967,0.005010982598424594
