,oligo_gdtha,lddt,qs_global,rmsd,ics,dockq_ave,ilddt,oligo_gdtts,dockq_wave,ips,qs_best,tm_score
oligo_gdtha,0.0031007517350388585,0.008885661915339786,0.00473690138040654,-0.13733200425783595,0.0051095644729591645,0.00012259739206052226,0.00470100567890038,0.003979597335904824,0.0009288005614134784,0.0035977443276527126,0.004762140106791491,0.004301033110863017
lddt,0.008885661915339786,0.058787709987614546,0.024579136940244717,0.2913896504165917,0.02682258388111447,-0.0052169068052669645,0.021397392642678845,0.010214748706920192,-0.003092994208724443,0.0017722890108943972,0.024664209577464253,0.008545750973365428
qs_global,0.00473690138040654,0.024579136940244717,0.020631571184744905,-0.5303793644481657,0.022677033187443324,0.0021165427450091268,0.0174715827368903,0.006227808122900938,0.0046290695751076884,0.012399160778593484,0.020717353491267663,0.00728569344080086
rmsd,-0.13733200425783595,0.2913896504165917,-0.5303793644481657,156.96045147875995,-0.49196216286061145,-0.40578600079067595,-0.4507262321041581,-0.2791787791859753,-0.5266811998419763,-1.4143165497343846,-0.5355925893595477,-0.9851871982682778
ics,0.0051095644729591645,0.02682258388111447,0.022677033187443324,-0.49196216286061145,0.025903685014751612,0.0023324055453512274,0.019479661468964175,0.006577855433996485,0.005080278965147114,0.013795562573040675,0.022760738851611173,0.007036001738913318
dockq_ave,0.00012259739206052226,-0.0052169068052669645,0.0021165427450091268,-0.40578600079067595,0.0023324055453512274,0.0036387435000975778,0.0017987739418429778,0.0005581783512610633,0.0038502264648314186,0.006830314579721958,0.002151460766109129,0.0021825498378468364
ilddt,0.00470100567890038,0.021397392642678845,0.0174715827368903,-0.4507262321041581,0.019479661468964175,0.0017987739418429778,0.015636567529315092,0.006233057940179672,0.0040834637405115694,0.010934386347564547,0.0175426392288206,0.0073580333012534735
oligo_gdtts,0.003979597335904824,0.010214748706920192,0.006227808122900938,-0.2791787791859753,0.006577855433996485,0.0005581783512610633,0.006233057940179672,0.0054755754182818205,0.00175086994710331,0.005624376321620039,0.006263773551910059,0.006829591108713094
dockq_wave,0.0009288005614134784,-0.003092994208724443,0.0046290695751076884,-0.5266811998419763,0.005080278965147114,0.0038502264648314186,0.0040834637405115694,0.00175086994710331,0.005091134585771209,0.009023618457191565,0.004674013356589639,0.003945090125191172
ips,0.0035977443276527126,0.0017722890108943972,0.012399160778593484,-1.4143165497343846,0.013795562573040675,0.006830314579721958,0.010934386347564547,0.005624376321620039,0.009023618457191565,0.024169751270104126,0.012498188152917611,0.011582570082741162
qs_best,0.004762140106791491,0.024664209577464253,0.020717353491267663,-0.5355925893595477,0.022760738851611173,0.002151460766109129,0.0175426392288206,0.006263773551910059,0.004674013356589639,0.012498188152917611,0.020805101541603064,0.007349575172819877
tm_score,0.004301033110863017,0.008545750973365428,0.00728569344080086,-0.9851871982682778,0.007036001738913318,0.0021825498378468364,0.0073580333012534735,0.006829591108713094,0.003945090125191172,0.011582570082741162,0.007349575172819877,0.01643446597479723
