,qs_global,ics,oligo_gdtts,qs_best,oligo_gdtha,ips,dockq_ave,dockq_wave,ilddt,tm_score,lddt,rmsd
qs_global,0.029994108850663982,0.029581473092525404,0.01174020000526634,0.03013005228339336,0.007230668110862839,0.012913176552323595,0.012700872637340932,0.008563587189292675,0.020492821697594428,0.012393350919814394,0.020658659117483925,-1.4639489142746005
ics,0.029581473092525404,0.02947004984276687,0.012039521868644138,0.029764403793821923,0.007407997706427916,0.012847634042403657,0.012967882956256718,0.00892508904262221,0.02067991140092171,0.01262182635833721,0.02068760409311765,-1.4896021863617308
oligo_gdtts,0.01174020000526634,0.012039521868644138,0.007345375029748154,0.012014432962489661,0.004612470436832916,0.004831276323534607,0.007733759287257526,0.005453746835362872,0.009083787076534589,0.007438244367849192,0.008191854802335589,-0.8289195398375302
qs_best,0.03013005228339336,0.029764403793821923,0.012014432962489661,0.03076044702403054,0.007379994772609811,0.012981116734254538,0.013070816767582628,0.008858244093786816,0.020770035170803534,0.012782450290653407,0.020869527078781442,-1.5397107595551935
oligo_gdtha,0.007230668110862839,0.007407997706427916,0.004612470436832916,0.007379994772609811,0.0030399388192217792,0.0030171365601047015,0.004558581237963246,0.00335462179716286,0.005422496378367397,0.004336142168042726,0.005114566959705642,-0.4438393260292146
ips,0.012913176552323595,0.012847634042403657,0.004831276323534607,0.012981116734254538,0.0030171365601047015,0.0062047068111618356,0.004897244121308923,0.003623313714390978,0.008693915351216476,0.004774666199838466,0.009277126427082156,-0.5353405846083258
dockq_ave,0.012700872637340932,0.012967882956256718,0.007733759287257526,0.013070816767582628,0.004558581237963246,0.004897244121308923,0.009589418498608645,0.0058497817349768754,0.010450094111054,0.009474675775101946,0.008440821939261989,-1.2020461427921472
dockq_wave,0.008563587189292675,0.00892508904262221,0.005453746835362872,0.008858244093786816,0.00335462179716286,0.003623313714390978,0.0058497817349768754,0.004433891836118855,0.006839975951173562,0.005567383474653141,0.006030536255958477,-0.6600141815914551
ilddt,0.020492821697594428,0.02067991140092171,0.009083787076534589,0.020770035170803534,0.005422496378367397,0.008693915351216476,0.010450094111054,0.006839975951173562,0.01604841259035591,0.01031340560113844,0.014797386545875424,-1.3287182145738392
tm_score,0.012393350919814394,0.01262182635833721,0.007438244367849192,0.012782450290653407,0.004336142168042726,0.004774666199838466,0.009474675775101946,0.005567383474653141,0.01031340560113844,0.010115977878085845,0.008194145808674148,-1.3493364291872474
lddt,0.020658659117483925,0.02068760409311765,0.008191854802335589,0.020869527078781442,0.005114566959705642,0.009277126427082156,0.008440821939261989,0.006030536255958477,0.014797386545875424,0.008194145808674148,0.015626577990767745,-0.9470947062810676
rmsd,-1.4639489142746005,-1.4896021863617308,-0.8289195398375302,-1.5397107595551935,-0.4438393260292146,-0.5353405846083258,-1.2020461427921472,-0.6600141815914551,-1.3287182145738392,-1.3493364291872474,-0.9470947062810676,270.855168651062
