,dockq_wave,ips,qs_best,ics,qs_global,oligo_gdtts,ilddt,lddt,rmsd,tm_score,oligo_gdtha,dockq_ave
dockq_wave,0.0003126790241348412,0.00017596172471211506,0.0003713301878666753,0.0004021223384216788,0.0003736034356822354,-2.4841008015665905e-05,6.589571557585658e-05,-0.00012360080691682272,-0.016755372294881096,9.084064829069174e-06,-0.00018082008268837437,0.0003126790241348412
ips,0.00017596172471211506,0.0034269814809993406,0.0015787932397149445,0.0004458050831103269,0.0017194109074976614,-2.152562078881554e-05,8.973610602917346e-05,-0.0003177479097644467,0.001052165765060163,0.0003455682352660128,-0.0001775888977012099,0.00017596172471211506
qs_best,0.0003713301878666753,0.0015787932397149445,0.002668152186480533,0.0008701063286617458,0.0026104313674330027,0.00014040807066442444,8.489433697487798e-05,-0.0005290513260614421,-0.003807135067497307,0.0005093314122909203,-8.895323494453227e-05,0.0003713301878666753
ics,0.0004021223384216788,0.0004458050831103269,0.0008701063286617458,0.0009894290315924988,0.0009198287284679433,-0.00015780418851822083,0.00018324616269771617,2.7502512351324732e-05,-0.008616515675121924,-4.8146058713573394e-05,-0.00038882956044373416,0.0004021223384216788
qs_global,0.0003736034356822354,0.0017194109074976614,0.0026104313674330027,0.0009198287284679433,0.0026486963939565964,-2.2555302539606353e-05,0.00016760918786017405,-0.00034696122947398784,-0.004152660244046232,0.0003961395433040344,-0.0003222937899795295,0.0003736034356822354
oligo_gdtts,-2.4841008015665905e-05,-2.152562078881554e-05,0.00014040807066442444,-0.00015780418851822083,-2.2555302539606353e-05,0.0011787758388494322,-2.1563442287276654e-05,0.0002743242596756126,-0.0012790281020652805,0.0008003495928586417,0.0015708010454156163,-2.4841008015665905e-05
ilddt,6.589571557585658e-05,8.973610602917346e-05,8.489433697487798e-05,0.00018324616269771617,0.00016760918786017405,-2.1563442287276654e-05,0.0004053255082847485,0.0005867366921589412,-0.004390677872078633,-2.630385159392115e-05,-0.00012980271065809621,6.589571557585658e-05
lddt,-0.00012360080691682272,-0.0003177479097644467,-0.0005290513260614421,2.7502512351324732e-05,-0.00034696122947398784,0.0002743242596756126,0.0005867366921589412,0.0020149869665991257,0.002183703720298736,-6.773683449985388e-05,0.0003807961890429166,-0.00012360080691682272
rmsd,-0.016755372294881096,0.001052165765060163,-0.003807135067497307,-0.008616515675121924,-0.004152660244046232,-0.0012790281020652805,-0.004390677872078633,0.002183703720298736,1.4281340180690838,-0.0003594997587732123,0.007474603108369681,-0.016755372294881096
tm_score,9.084064829069174e-06,0.0003455682352660128,0.0005093314122909203,-4.8146058713573394e-05,0.0003961395433040344,0.0008003495928586417,-2.630385159392115e-05,-6.773683449985388e-05,-0.0003594997587732123,0.0009123028374149195,0.0009827965302909455,9.084064829069174e-06
oligo_gdtha,-0.00018082008268837437,-0.0001775888977012099,-8.895323494453227e-05,-0.00038882956044373416,-0.0003222937899795295,0.0015708010454156163,-0.00012980271065809621,0.0003807961890429166,0.007474603108369681,0.0009827965302909455,0.002283522507236881,-0.00018082008268837437
dockq_ave,0.0003126790241348412,0.00017596172471211506,0.0003713301878666753,0.0004021223384216788,0.0003736034356822354,-2.4841008015665905e-05,6.589571557585658e-05,-0.00012360080691682272,-0.016755372294881096,9.084064829069174e-06,-0.00018082008268837437,0.0003126790241348412
