,oligo_gdtts,rmsd,qs_global,lddt,oligo_gdtha,dockq_ave,qs_best,ilddt,ips,dockq_wave,tm_score,ics
oligo_gdtts,0.016915368930341894,-0.4710042019407235,0.0017246775149296098,0.007529129112360059,0.013796481067900209,7.934997815178799e-06,0.0013468494206458016,-0.00016146968121707057,0.0007026654702889497,3.14187327035019e-05,0.01137287505286262,0.0016964455050451756
rmsd,-0.4710042019407235,185.0505993864793,1.123623876009161,1.1313127105931164,-0.288501593812688,0.5334470433910425,1.052386407144615,0.7962170189913662,0.42237506661945445,0.4920850323177685,-0.6328615136121868,1.3466973527621653
qs_global,0.0017246775149296098,1.123623876009161,0.012688493302143132,0.015294336097759431,0.0021321751480404432,0.006085735762251319,0.012172266020512195,0.00937817832105314,0.006101976036283093,0.005641071233946591,-0.0010782584359194558,0.015182771495120557
lddt,0.007529129112360059,1.1313127105931164,0.015294336097759431,0.026102580224107354,0.006923341955088115,0.007959993274770094,0.015729308159175493,0.01304772737756214,0.008205681906168232,0.00737916258984134,0.002585158997694632,0.018096131996323473
oligo_gdtha,0.013796481067900209,-0.288501593812688,0.0021321751480404432,0.006923341955088115,0.011497236685652001,0.0005774514331921991,0.0018466464806806589,0.0005881469540584937,0.0009103190802657955,0.0005534237625627198,0.008854778039035465,0.0023239680134705507
dockq_ave,7.934997815178799e-06,0.5334470433910425,0.006085735762251319,0.007959993274770094,0.0005774514331921991,0.004986928527732159,0.00654440645802884,0.006356911638816479,0.004100040232846646,0.004635935556325684,-0.0013794137297150693,0.008162267995640404
qs_best,0.0013468494206458016,1.052386407144615,0.012172266020512195,0.015729308159175493,0.0018466464806806589,0.00654440645802884,0.012563976655817904,0.010039897640393567,0.006627840778298446,0.006077171176186963,-0.0013097630431288647,0.014606549516325873
ilddt,-0.00016146968121707057,0.7962170189913662,0.00937817832105314,0.01304772737756214,0.0005881469540584937,0.006356911638816479,0.010039897640393567,0.009696044930964674,0.006314205370138774,0.005903825369536065,-0.0019813096875455167,0.012106541041481459
ips,0.0007026654702889497,0.42237506661945445,0.006101976036283093,0.008205681906168232,0.0009103190802657955,0.004100040232846646,0.006627840778298446,0.006314205370138774,0.005625086694692645,0.003824616588565604,-0.0005686037267517474,0.00803453937750187
dockq_wave,3.14187327035019e-05,0.4920850323177685,0.005641071233946591,0.00737916258984134,0.0005534237625627198,0.004635935556325684,0.006077171176186963,0.005903825369536065,0.003824616588565604,0.004312440739875746,-0.0012631226033520675,0.007564272425803986
tm_score,0.01137287505286262,-0.6328615136121868,-0.0010782584359194558,0.002585158997694632,0.008854778039035465,-0.0013794137297150693,-0.0013097630431288647,-0.0019813096875455167,-0.0005686037267517474,-0.0012631226033520675,0.008818387562844986,-0.0016779287283840852
ics,0.0016964455050451756,1.3466973527621653,0.015182771495120557,0.018096131996323473,0.0023239680134705507,0.008162267995640404,0.014606549516325873,0.012106541041481459,0.00803453937750187,0.007564272425803986,-0.0016779287283840852,0.019546355315894923
