,oligo_gdtha,ilddt,oligo_gdtts,ips,dockq_ave,tm_score,qs_global,dockq_wave,ics,lddt,qs_best,rmsd
oligo_gdtha,0.00019351850867571984,0.0007342062791725458,0.000304889896932848,2.282293289402892e-05,0.0005174145263066195,0.0009051315245314895,0.001439516743334454,0.0006663748386746286,0.0011959018578907618,0.0023546482101142784,0.0014467304073792916,0.04584047417790749
ilddt,0.0007342062791725458,0.004329923129837008,0.0011921691526802403,0.001562375555920984,0.0035858864585061627,0.0036530011981024163,0.008169342550842276,0.004313458076693237,0.006914904350022089,0.010708249801417467,0.008202029763888664,-0.0008835503122262268
oligo_gdtts,0.000304889896932848,0.0011921691526802403,0.0005103143540793968,0.00022869408696324627,0.000916592531143077,0.0014215728534854855,0.0023725677713386296,0.0011531750183899913,0.0019661652392705484,0.0036091699528834507,0.002384253393767029,0.03304336160473289
ips,2.282293289402892e-05,0.001562375555920984,0.00022869408696324627,0.011848107146230661,0.0043842862762458095,0.001994404381100325,0.0024272248240654235,0.0046102498799695186,0.002246535302665241,-0.0014409102729941194,0.0024492918287261603,-3.29244084272361
dockq_ave,0.0005174145263066195,0.0035858864585061627,0.000916592531143077,0.0043842862762458095,0.0044205017741508435,0.002057292631131771,0.006848643430184841,0.005006060532803193,0.005882588012319702,0.005813442136498517,0.006873447407806561,-0.7098340488980444
tm_score,0.0009051315245314895,0.0036530011981024163,0.0014215728534854855,0.001994404381100325,0.002057292631131771,0.011073219432359817,0.006948010925343245,0.0029141414612444713,0.005183524430668879,0.01877945518494972,0.007017640846287083,-1.5034403224412713
qs_global,0.001439516743334454,0.008169342550842276,0.0023725677713386296,0.0024272248240654235,0.006848643430184841,0.006948010925343245,0.01693424714606425,0.008281354539207753,0.014071619912285985,0.02052217500370739,0.016991157322153,0.3328833953840756
dockq_wave,0.0006663748386746286,0.004313458076693237,0.0011531750183899913,0.0046102498799695186,0.005006060532803193,0.0029141414612444713,0.008281354539207753,0.005758222728854449,0.007083787997539191,0.007966253714337734,0.008313016445277112,-0.7161429090029469
ics,0.0011959018578907618,0.006914904350022089,0.0019661652392705484,0.002246535302665241,0.005882588012319702,0.005183524430668879,0.014071619912285985,0.007083787997539191,0.012031036175547466,0.016355478160325457,0.014113472764949226,0.36249648934310447
lddt,0.0023546482101142784,0.010708249801417467,0.0036091699528834507,-0.0014409102729941194,0.005813442136498517,0.01877945518494972,0.02052217500370739,0.007966253714337734,0.016355478160325457,0.04682077412392431,0.0206434414434785,-0.24129214138049068
qs_best,0.0014467304073792916,0.008202029763888664,0.002384253393767029,0.0024492918287261603,0.006873447407806561,0.007017640846287083,0.016991157322153,0.008313016445277112,0.014113472764949226,0.0206434414434785,0.017049316043315683,0.3218766796343634
rmsd,0.04584047417790749,-0.0008835503122262268,0.03304336160473289,-3.29244084272361,-0.7098340488980444,-1.5034403224412713,0.3328833953840756,-0.7161429090029469,0.36249648934310447,-0.24129214138049068,0.3218766796343634,1432.7138344260507
