,ics,ilddt,rmsd,ips,tm_score,lddt,dockq_ave,dockq_wave,oligo_gdtts,qs_global,qs_best,oligo_gdtha
ics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ilddt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rmsd,0.0,0.0,9.918552013586092,-0.005864921855185011,-0.05246258212302814,-0.012917898852338353,-0.011243692832722429,-0.017801463705730186,-0.09779140254077341,0.0,0.0,-0.0869022578279445
ips,0.0,0.0,-0.005864921855185011,0.0002671162218927523,0.000599315561759085,0.0009396263224633364,1.541708441930825e-05,3.556868602577725e-05,0.00010989333256368716,0.0,0.0,0.00017171711296732486
tm_score,0.0,0.0,-0.05246258212302814,0.000599315561759085,0.009998538241573953,1.6498811649601073e-06,0.00022894297885062546,0.00025030120936927086,0.0002995461774833326,0.0,0.0,0.0001932171312255057
lddt,0.0,0.0,-0.012917898852338353,0.0009396263224633364,1.6498811649601073e-06,0.004162486843285818,9.352122662670366e-05,0.00016400074593457415,0.00039784340534544416,0.0,0.0,0.0007100403708952033
dockq_ave,0.0,0.0,-0.011243692832722429,1.541708441930825e-05,0.00022894297885062546,9.352122662670366e-05,0.0002684674757467345,0.0003347201773302396,0.00021380489802397517,0.0,0.0,0.0002529258704949035
dockq_wave,0.0,0.0,-0.017801463705730186,3.556868602577725e-05,0.00025030120936927086,0.00016400074593457415,0.0003347201773302396,0.0005198481663389395,0.0003800856595940785,0.0,0.0,0.0004391294643764671
oligo_gdtts,0.0,0.0,-0.09779140254077341,0.00010989333256368716,0.0002995461774833326,0.00039784340534544416,0.00021380489802397517,0.0003800856595940785,0.0027859535999676215,0.0,0.0,0.0023885765272090853
qs_global,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qs_best,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oligo_gdtha,0.0,0.0,-0.0869022578279445,0.00017171711296732486,0.0001932171312255057,0.0007100403708952033,0.0002529258704949035,0.0004391294643764671,0.0023885765272090853,0.0,0.0,0.0021314957810737297
