,rmsd,lddt,dockq_wave,ics,dockq_ave,oligo_gdtha,tm_score,qs_global,qs_best,ips,oligo_gdtts,ilddt
rmsd,82.53421473389918,-0.8489360154468005,-2.785393736848287,-2.1470874265577966,-2.785393736848287,-1.2378019024558924,-1.7097038184705156,-2.914587690003392,-3.107206621339046,-2.044786405649785,-1.5623589970200897,-2.3175705454716695
lddt,-0.8489360154468005,0.010148800374796305,0.029471817878285962,0.024456095426346688,0.029471817878285962,0.013509666803624512,0.018290595175984282,0.031956899757380926,0.03331597570327173,0.02264036762594401,0.016916886294335937,0.025439861489791434
dockq_wave,-2.785393736848287,0.029471817878285962,0.09694331625239298,0.0753192482664717,0.09694331625239298,0.04347946470782123,0.059077550205452675,0.10030147220920094,0.1071678398902864,0.07071677510278994,0.0545074880874815,0.08089697205907258
ics,-2.1470874265577966,0.024456095426346688,0.0753192482664717,0.06432024673346708,0.0753192482664717,0.03600240201100827,0.04896802080478807,0.0814409769431905,0.08531976681066832,0.059418291023921196,0.04521956817244505,0.06585296415375173
dockq_ave,-2.785393736848287,0.029471817878285962,0.09694331625239298,0.0753192482664717,0.09694331625239298,0.04347946470782123,0.059077550205452675,0.10030147220920094,0.1071678398902864,0.07071677510278994,0.0545074880874815,0.08089697205907258
oligo_gdtha,-1.2378019024558924,0.013509666803624512,0.04347946470782123,0.03600240201100827,0.04347946470782123,0.021474576396482713,0.02838893240973573,0.045813601611439644,0.04851018584112053,0.03348846261621555,0.026622177261398487,0.03799309560757562
tm_score,-1.7097038184705156,0.018290595175984282,0.059077550205452675,0.04896802080478807,0.059077550205452675,0.02838893240973573,0.0393338615844127,0.0625988851171906,0.06692217444082255,0.045775152173371754,0.035951437400113834,0.05156418057616424
qs_global,-2.914587690003392,0.031956899757380926,0.10030147220920094,0.0814409769431905,0.10030147220920094,0.045813601611439644,0.0625988851171906,0.1085950035486716,0.11266570202612913,0.0774301652496318,0.057596967565523766,0.08537122398631126
qs_best,-3.107206621339046,0.03331597570327173,0.1071678398902864,0.08531976681066832,0.1071678398902864,0.04851018584112053,0.06692217444082255,0.11266570202612913,0.12036093631448937,0.079930975108673,0.0612502293008281,0.09037280928131235
ips,-2.044786405649785,0.02264036762594401,0.07071677510278994,0.059418291023921196,0.07071677510278994,0.03348846261621555,0.045775152173371754,0.0774301652496318,0.079930975108673,0.05689561690739629,0.0421426746201912,0.06149705676473775
oligo_gdtts,-1.5623589970200897,0.016916886294335937,0.0545074880874815,0.04521956817244505,0.0545074880874815,0.026622177261398487,0.035951437400113834,0.057596967565523766,0.0612502293008281,0.0421426746201912,0.0333314742507214,0.04764633596367029
ilddt,-2.3175705454716695,0.025439861489791434,0.08089697205907258,0.06585296415375173,0.08089697205907258,0.03799309560757562,0.05156418057616424,0.08537122398631126,0.09037280928131235,0.06149705676473775,0.04764633596367029,0.06993095558854642
