,dockq_wave,qs_global,dockq_ave,tm_score,ics,ilddt,oligo_gdtts,rmsd,qs_best,lddt,ips,oligo_gdtha
dockq_wave,0.0066653813182034,0.005827626581683927,0.0066653813182034,0.0005887590822235848,0.005700778224288805,0.002983669524566366,0.0009254713655046306,-0.0763534750513729,0.005475294775277881,0.0016280813452732538,0.004873205319181263,0.0019002127650453585
qs_global,0.005827626581683927,0.005176045513870213,0.005827626581683927,0.0005102826472658684,0.005013495608330966,0.002594577611089118,0.0007836377904460461,-0.06720537702089625,0.004863080503344966,0.0013835163763061453,0.0042950529870700565,0.0015878854525174853
dockq_ave,0.0066653813182034,0.005827626581683927,0.0066653813182034,0.0005887590822235848,0.005700778224288805,0.002983669524566366,0.0009254713655046306,-0.0763534750513729,0.005475294775277881,0.0016280813452732538,0.004873205319181263,0.0019002127650453585
tm_score,0.0005887590822235848,0.0005102826472658684,0.0005887590822235848,5.3603459639762674e-05,0.000493922284399446,0.00026330703565590976,8.709483911643445e-05,-0.006784605547274305,0.00047937030948193066,0.00014968416463050972,0.00042647514257314947,0.00017868421330307022
ics,0.005700778224288805,0.005013495608330966,0.005700778224288805,0.000493922284399446,0.00499249670502006,0.0026274279658589058,0.0007652205896215382,-0.06489983094134125,0.004711406031833802,0.0013787542962127725,0.0042324081947146255,0.0015883618395970956
ilddt,0.002983669524566366,0.002594577611089118,0.002983669524566366,0.00026330703565590976,0.0026274279658589058,0.0018932174634552893,0.00043760332852217534,-0.03368265731592522,0.00243898539207077,0.0009864661446672366,0.002206251115034533,0.0009477840353417914
oligo_gdtts,0.0009254713655046306,0.0007836377904460461,0.0009254713655046306,8.709483911643445e-05,0.0007652205896215382,0.00043760332852217534,0.00015717477382581018,-0.010579530565314115,0.000736490088064907,0.00026188312738938574,0.0006609593427822944,0.0003251859130973968
rmsd,-0.0763534750513729,-0.06720537702089625,-0.0763534750513729,-0.006784605547274305,-0.06489983094134125,-0.03368265731592522,-0.010579530565314115,0.8826299121667006,-0.06312785014469305,-0.018477016793881702,-0.0558916110466089,-0.021487532869916066
qs_best,0.005475294775277881,0.004863080503344966,0.005475294775277881,0.00047937030948193066,0.004711406031833802,0.00243898539207077,0.000736490088064907,-0.06312785014469305,0.004569340831712557,0.001300432941063626,0.0040347582205636145,0.001491350029318651
lddt,0.0016280813452732538,0.0013835163763061453,0.0016280813452732538,0.00014968416463050972,0.0013787542962127725,0.0009864661446672366,0.00026188312738938574,-0.018477016793881702,0.001300432941063626,0.0006355858024119087,0.0011556522242111705,0.0005549108943879696
ips,0.004873205319181263,0.0042950529870700565,0.004873205319181263,0.00042647514257314947,0.0042324081947146255,0.002206251115034533,0.0006609593427822944,-0.0558916110466089,0.0040347582205636145,0.0011556522242111705,0.003745782125211314,0.0013717957896192308
oligo_gdtha,0.0019002127650453585,0.0015878854525174853,0.0019002127650453585,0.00017868421330307022,0.0015883618395970956,0.0009477840353417914,0.0003251859130973968,-0.021487532869916066,0.001491350029318651,0.0005549108943879696,0.0013717957896192308,0.0007860990040089527
