,oligo_gdtha,qs_best,tm_score,dockq_wave,lddt,rmsd,oligo_gdtts,ips,qs_global,dockq_ave,ics,ilddt
oligo_gdtha,0.049888928055988165,0.04900764410341714,0.04382965017315401,0.025682904779172684,0.037276042916105145,-1.0146358130492805,0.05939417180371078,0.028382369557931376,0.04900159546701201,0.015384499770919725,0.05175334652920995,0.05406160887115267
qs_best,0.04900764410341714,0.07230096837938016,0.0581330454346404,0.04909686327684443,0.032355349624914535,-1.6634699768009722,0.0650843966541796,0.038033917283727584,0.07171673405607194,0.03147211053234971,0.06757294761310928,0.054934375560149164
tm_score,0.04382965017315401,0.0581330454346404,0.05123553953169556,0.03693195391951591,0.03260780305705121,-1.3619206003115376,0.05744736919390923,0.03135123791220049,0.05765441832377484,0.023219379986964713,0.0559611963483702,0.04859941381889838
dockq_wave,0.025682904779172684,0.04909686327684443,0.03693195391951591,0.04195939454517125,0.014827706979575642,-1.2886733782065338,0.03686507285048103,0.02687940992573705,0.04826510386569161,0.028616184376731392,0.04182929564288571,0.02958209259210828
lddt,0.037276042916105145,0.032355349624914535,0.03260780305705121,0.014827706979575642,0.039380525778214326,-0.677638645415418,0.04375433468392874,0.018874865875927602,0.032441259488684225,0.009103545979028972,0.03576121832945489,0.04191753882786375
rmsd,-1.0146358130492805,-1.6634699768009722,-1.3619206003115376,-1.2886733782065338,-0.677638645415418,43.646042435243764,-1.408787324468299,-0.9315934493588983,-1.6391445945045926,-0.8532746660618942,-1.4775312390986297,-1.1406879441587583
oligo_gdtts,0.05939417180371078,0.0650843966541796,0.05744736919390923,0.03686507285048103,0.04375433468392874,-1.408787324468299,0.07305233256962543,0.036660112449021745,0.0648769151956104,0.022494269913593875,0.06635731949903673,0.06490719412303264
ips,0.028382369557931376,0.038033917283727584,0.03135123791220049,0.02687940992573705,0.018874865875927602,-0.9315934493588983,0.036660112449021745,0.024420075353179475,0.03762893409708403,0.017456070827861186,0.036004981009859424,0.031914744346970385
qs_global,0.04900159546701201,0.07171673405607194,0.05765441832377484,0.04826510386569161,0.032441259488684225,-1.6391445945045926,0.0648769151956104,0.03762893409708403,0.07120462953170041,0.03086484815606983,0.0672712456750808,0.05489844611474105
dockq_ave,0.015384499770919725,0.03147211053234971,0.023219379986964713,0.028616184376731392,0.009103545979028972,-0.8532746660618942,0.022494269913593875,0.017456070827861186,0.03086484815606983,0.020030090565348685,0.026100099522199865,0.017972916333823415
ics,0.05175334652920995,0.06757294761310928,0.0559611963483702,0.04182929564288571,0.03576121832945489,-1.4775312390986297,0.06635731949903673,0.036004981009859424,0.0672712456750808,0.026100099522199865,0.06600165040603709,0.05766084325410163
ilddt,0.05406160887115267,0.054934375560149164,0.04859941381889838,0.02958209259210828,0.04191753882786375,-1.1406879441587583,0.06490719412303264,0.031914744346970385,0.05489844611474105,0.017972916333823415,0.05766084325410163,0.06033419890262252
