,qs_best,dockq_wave,ics,ips,qs_global,tm_score,ilddt,oligo_gdtts,dockq_ave,rmsd,lddt,oligo_gdtha
qs_best,0.07334461145717934,0.049612940121077906,0.06498049891244387,0.0440877538398827,0.06567066981440514,0.057354943330700514,0.07511927114686366,0.06111556656168179,0.051060949639583054,-1.790949233365585,0.07030416158379249,0.04496816156970101
dockq_wave,0.049612940121077906,0.03449029263191582,0.04431503975197068,0.03024110634007403,0.044362516518058885,0.038567331273571905,0.05246804274920738,0.042586149459620116,0.0355065455911569,-1.2050568658084255,0.04792915856858289,0.03172438209040423
ics,0.06498049891244387,0.04431503975197068,0.061199240317127604,0.04129748040451994,0.06061074886171285,0.050308031916434834,0.07037035214562769,0.05616882627652503,0.045872676470774365,-1.552201109023728,0.06370501848214143,0.04203968374208852
ips,0.0440877538398827,0.03024110634007403,0.04129748040451994,0.028124080541351033,0.040975515267016246,0.03426295035959079,0.04789579526219645,0.03830809902333658,0.03129227081122376,-1.0604018977492393,0.04335689064272108,0.028712943426722357
qs_global,0.06567066981440514,0.044362516518058885,0.06061074886171285,0.040975515267016246,0.06090781365129335,0.051150327554160754,0.06899131845411431,0.05543769844566248,0.04584568002400235,-1.5892280492149204,0.0637001039218208,0.04115308385270068
tm_score,0.057354943330700514,0.038567331273571905,0.050308031916434834,0.03426295035959079,0.051150327554160754,0.046896618153453765,0.05755408473594547,0.04799398517875254,0.03957326585531352,-1.4761771353907565,0.05602555628410548,0.03500538729453709
ilddt,0.07511927114686366,0.05246804274920738,0.07037035214562769,0.04789579526219645,0.06899131845411431,0.05755408473594547,0.0846008725132571,0.06723871643282393,0.054264029932727054,-1.7683766822281242,0.07443974378144187,0.05089314675284938
oligo_gdtts,0.06111556656168179,0.042586149459620116,0.05616882627652503,0.03830809902333658,0.05543769844566248,0.04799398517875254,0.06723871643282393,0.054790612949336515,0.04389795937963986,-1.4837538969029698,0.060664706535952295,0.041263884898122556
dockq_ave,0.051060949639583054,0.0355065455911569,0.045872676470774365,0.03129227081122376,0.04584568002400235,0.03957326585531352,0.054264029932727054,0.04389795937963986,0.03662415756869341,-1.2349194755185684,0.0493641526740906,0.03275613005259844
rmsd,-1.790949233365585,-1.2050568658084255,-1.552201109023728,-1.0604018977492393,-1.5892280492149204,-1.4761771353907565,-1.7683766822281242,-1.4837538969029698,-1.2349194755185684,47.12463095188919,-1.7457163385997243,-1.0814959258546373
lddt,0.07030416158379249,0.04792915856858289,0.06370501848214143,0.04335689064272108,0.0637001039218208,0.05602555628410548,0.07443974378144187,0.060664706535952295,0.0493641526740906,-1.7457163385997243,0.06938924165158142,0.04501423166528167
oligo_gdtha,0.04496816156970101,0.03172438209040423,0.04203968374208852,0.028712943426722357,0.04115308385270068,0.03500538729453709,0.05089314675284938,0.041263884898122556,0.03275613005259844,-1.0814959258546373,0.04501423166528167,0.03149242349354479
