,dockq_ave,oligo_gdtha,lddt,oligo_gdtts,rmsd,dockq_wave,ilddt,qs_global,qs_best,ips,tm_score,ics
dockq_ave,0.0030534387250393076,0.0007695136759743652,0.00030319282401684947,0.0016814517096497318,-0.1845562619957981,0.0030534387250393076,0.0011512337027216608,0.0001622792873630792,0.0007841358176904832,0.00016405336883849091,0.0038973137200041907,0.0005584490790441245
oligo_gdtha,0.0007695136759743652,0.008315936980316302,0.02434183229723379,0.0076613791761983565,-0.1070845819012634,0.0007695136759743652,0.02403642143447823,0.0037534553807834813,0.020088654506759288,0.0022164410210998076,0.0065551327720092655,0.006706916865666209
lddt,0.00030319282401684947,0.02434183229723379,0.07515146487834781,0.02186044724858295,-0.20163826838857732,0.00030319282401684947,0.07292671854806985,0.011330376131254368,0.061243878610916264,0.006651597097545118,0.017110961300199016,0.02005674527153869
oligo_gdtts,0.0016814517096497318,0.0076613791761983565,0.02186044724858295,0.007537499379410038,-0.1575129306435664,0.0016814517096497318,0.02148414923414456,0.003343549049021649,0.01825532659748112,0.0019808383369588276,0.007387271866196385,0.006024288386886484
rmsd,-0.1845562619957981,-0.1070845819012634,-0.20163826838857732,-0.1575129306435664,14.40579085109016,-0.1845562619957981,-0.22120156191118948,-0.03311912589251767,-0.21118703388527205,-0.024153970238975125,-0.31826705622858126,-0.07390116028095639
dockq_wave,0.0030534387250393076,0.0007695136759743652,0.00030319282401684947,0.0016814517096497318,-0.1845562619957981,0.0030534387250393076,0.0011512337027216608,0.0001622792873630792,0.0007841358176904832,0.00016405336883849091,0.0038973137200041907,0.0005584490790441245
ilddt,0.0011512337027216608,0.02403642143447823,0.07292671854806985,0.02148414923414456,-0.22120156191118948,0.0011512337027216608,0.07355501142432008,0.01132838273855162,0.0591774964802962,0.006679650508813494,0.017000706269520882,0.020294515314207
qs_global,0.0001622792873630792,0.0037534553807834813,0.011330376131254368,0.003343549049021649,-0.03311912589251767,0.0001622792873630792,0.01132838273855162,0.0018977630773444197,0.009233545897995113,0.0011009726190797375,0.0025749161833372443,0.003350790367914915
qs_best,0.0007841358176904832,0.020088654506759288,0.061243878610916264,0.01825532659748112,-0.21118703388527205,0.0007841358176904832,0.0591774964802962,0.009233545897995113,0.05256144323455931,0.0054200745325026995,0.014959139532806998,0.016382015098920448
ips,0.00016405336883849091,0.0022164410210998076,0.006651597097545118,0.0019808383369588276,-0.024153970238975125,0.00016405336883849091,0.006679650508813494,0.0011009726190797375,0.0054200745325026995,0.0006648407813748979,0.0015664874581818608,0.001965806138576465
tm_score,0.0038973137200041907,0.0065551327720092655,0.017110961300199016,0.007387271866196385,-0.31826705622858126,0.0038973137200041907,0.017000706269520882,0.0025749161833372443,0.014959139532806998,0.0015664874581818608,0.012938617721761615,0.004827798314459225
ics,0.0005584490790441245,0.006706916865666209,0.02005674527153869,0.006024288386886484,-0.07390116028095639,0.0005584490790441245,0.020294515314207,0.003350790367914915,0.016382015098920448,0.001965806138576465,0.004827798314459225,0.006015309687471372
