,ilddt,tm_score,ics,ips,dockq_wave,oligo_gdtts,dockq_ave,qs_global,qs_best,lddt,rmsd,oligo_gdtha
ilddt,0.012941476058819557,0.02375822303949597,0.0038179501395780293,0.005106378215814945,0.012397424738556722,0.021953239934044282,0.012398288188709628,0.007489076474511091,0.01718131236123583,0.017996428360855295,-0.9889772902595412,0.015768617907153542
tm_score,0.02375822303949597,0.06252074383047512,0.007346315129663415,0.010569127038487284,0.03287440923608678,0.048130154994035466,0.03287451272840212,0.015983391201984627,0.03800549290826172,0.03124191030377903,-3.0673324437518703,0.03144647015458525
ics,0.0038179501395780293,0.007346315129663415,0.0012994892228717532,0.001701152361037554,0.004302234797535995,0.006565420898226579,0.004302367485492867,0.0022886271874694446,0.005440520352246762,0.0044691863570282386,-0.3236348611304195,0.004631315532965444
ips,0.005106378215814945,0.010569127038487284,0.001701152361037554,0.003475108615525333,0.006148003873726807,0.008649938984203189,0.0061479614521332574,0.003194148192174498,0.0074375770257148885,0.004269220238768021,-0.5242224237480965,0.005965774044460649
dockq_wave,0.012397424738556722,0.03287440923608678,0.004302234797535995,0.006148003873726807,0.02049638498769517,0.024940602149346878,0.020495676499785797,0.00851057315564233,0.021130183439793268,0.011540401835151348,-1.669877111160773,0.015955189717889076
oligo_gdtts,0.021953239934044282,0.048130154994035466,0.006565420898226579,0.008649938984203189,0.024940602149346878,0.04174067385490362,0.024941635295867584,0.013833182401001379,0.032257757541917974,0.033307347648384056,-2.065575707104411,0.028680593728653423
dockq_ave,0.012398288188709628,0.03287451272840212,0.004302367485492867,0.0061479614521332574,0.020495676499785797,0.024941635295867584,0.020494993320143286,0.008510984411957072,0.021130814795808014,0.01154486794710401,-1.6698033836182409,0.015956284218192878
qs_global,0.007489076474511091,0.015983391201984627,0.0022886271874694446,0.003194148192174498,0.00851057315564233,0.013833182401001379,0.008510984411957072,0.004868364427934726,0.011056532487373543,0.01097020347578858,-0.6911960277980024,0.009509061801079124
qs_best,0.01718131236123583,0.03800549290826172,0.005440520352246762,0.0074375770257148885,0.021130183439793268,0.032257757541917974,0.021130814795808014,0.011056532487373543,0.026236617075875355,0.023344679566209448,-1.6843159854662872,0.021916312881219643
lddt,0.017996428360855295,0.03124191030377903,0.0044691863570282386,0.004269220238768021,0.011540401835151348,0.033307347648384056,0.01154486794710401,0.01097020347578858,0.023344679566209448,0.052113946999735726,-0.6933243028970797,0.024460112912573103
rmsd,-0.9889772902595412,-3.0673324437518703,-0.3236348611304195,-0.5242224237480965,-1.669877111160773,-2.065575707104411,-1.6698033836182409,-0.6911960277980024,-1.6843159854662872,-0.6933243028970797,198.71140010725043,-1.2811021250071692
oligo_gdtha,0.015768617907153542,0.03144647015458525,0.004631315532965444,0.005965774044460649,0.015955189717889076,0.028680593728653423,0.015956284218192878,0.009509061801079124,0.021916312881219643,0.024460112912573103,-1.2811021250071692,0.020289759347228396
