,dockq_wave,ics,lddt,dockq_ave,rmsd,qs_best,ilddt,qs_global,tm_score,ips,oligo_gdtha,oligo_gdtts
dockq_wave,0.027775020222449157,0.04299783483107529,0.05094075821909381,0.021427187533957878,-1.6900106306854532,0.052131828579659464,0.044246204921907444,0.037648951650001525,0.025098266394806532,0.02592387314245532,0.010892567529459617,0.01614027944594133
ics,0.04299783483107529,0.08951700508598444,0.10565880043957016,0.03308796095515738,-3.029031965300052,0.10506541498592267,0.08771610589209856,0.0797098528155328,0.051447065493805254,0.055539853984001915,0.023324244988261647,0.033281936357352264
lddt,0.05094075821909381,0.10565880043957016,0.1345342919788301,0.0392055704299883,-3.7684445081535087,0.12591597650413397,0.10597720508027375,0.09376040533341116,0.06465581350686475,0.06526669992664404,0.028407270191785884,0.04102197144752781
dockq_ave,0.021427187533957878,0.03308796095515738,0.0392055704299883,0.0165514698686797,-1.3044194769767117,0.040118921303254444,0.03410308298396579,0.028966485422730434,0.019357257658913152,0.019956671472552968,0.00838697590533129,0.012435544541642618
rmsd,-1.6900106306854532,-3.029031965300052,-3.7684445081535087,-1.3044194769767117,141.13954506978087,-3.673306370239794,-3.121395650658944,-2.666644172877084,-1.97858216052336,-1.8397063827309252,-0.8135432894626953,-1.1996491285604842
qs_best,0.052131828579659464,0.10506541498592267,0.12591597650413397,0.040118921303254444,-3.673306370239794,0.125683200321768,0.10432900991381608,0.09330217602241903,0.061143700538713944,0.06470148330952505,0.027369006279259183,0.03933173454383744
ilddt,0.044246204921907444,0.08771610589209856,0.10597720508027375,0.03410308298396579,-3.121395650658944,0.10432900991381608,0.08816830777241849,0.07772629553140813,0.051884185030961115,0.054089768963040595,0.023106113177646884,0.033242512508067375
qs_global,0.037648951650001525,0.0797098528155328,0.09376040533341116,0.028966485422730434,-2.666644172877084,0.09330217602241903,0.07772629553140813,0.07133283201852074,0.045638415152837605,0.04966226605223423,0.020846787012218225,0.029640281148767728
tm_score,0.025098266394806532,0.051447065493805254,0.06465581350686475,0.019357257658913152,-1.97858216052336,0.061143700538713944,0.051884185030961115,0.045638415152837605,0.033767852061854266,0.031731306482879564,0.014064057115383572,0.020456095877154357
ips,0.02592387314245532,0.055539853984001915,0.06526669992664404,0.019956671472552968,-1.8397063827309252,0.06470148330952505,0.054089768963040595,0.04966226605223423,0.031731306482879564,0.03490217717603727,0.014544769302607152,0.02062986989513657
oligo_gdtha,0.010892567529459617,0.023324244988261647,0.028407270191785884,0.00838697590533129,-0.8135432894626953,0.027369006279259183,0.023106113177646884,0.020846787012218225,0.014064057115383572,0.014544769302607152,0.006386289815545505,0.009090560092590672
oligo_gdtts,0.01614027944594133,0.033281936357352264,0.04102197144752781,0.012435544541642618,-1.1996491285604842,0.03933173454383744,0.033242512508067375,0.029640281148767728,0.020456095877154357,0.02062986989513657,0.009090560092590672,0.013084500558920185
