,rmsd,lddt,qs_best,dockq_ave,ilddt,qs_global,ics,tm_score,oligo_gdtha,ips,oligo_gdtts,dockq_wave
rmsd,0.251770253634338,-0.0036106820446431833,-0.014229396011484442,-0.03633210093830414,-0.014868007702258572,-0.014011651995583206,-0.011725603418004662,-0.0021285521925653843,-0.00229340574506448,-0.012020523059976184,-0.0024557786981150567,-0.03633210093830414
lddt,-0.0036106820446431833,9.839052981795367e-05,0.00022107769445543575,0.00048158406348156675,0.0003840127255209753,0.00021700037642055357,0.00018237007345743456,3.088523944636776e-05,4.2751143118371874e-05,0.0002005213983758488,3.566400441101269e-05,0.00048158406348156675
qs_best,-0.014229396011484442,0.00022107769445543575,0.000851265806024367,0.0019493662287624824,0.0009036295446275248,0.0008384759112534335,0.0006824108416831059,0.00012052427767980348,0.00013684839486275105,0.0007272310489602167,0.00013677867984829452,0.0019493662287624824
dockq_ave,-0.03633210093830414,0.00048158406348156675,0.0019493662287624824,0.005608994797186754,0.0020091276713930495,0.0019196397897892831,0.0016787647712935862,0.00030860567641552585,0.0003117029260231591,0.001618677598526835,0.000362488799118826,0.005608994797186754
ilddt,-0.014868007702258572,0.0003840127255209753,0.0009036295446275248,0.0020091276713930495,0.001592996086045595,0.0008862922932108863,0.0007405355375704826,0.00012715314050897272,0.00015929447283530475,0.0008233198140839126,0.00014807690773165907,0.0020091276713930495
qs_global,-0.014011651995583206,0.00021700037642055357,0.0008384759112534335,0.0019196397897892831,0.0008862922932108863,0.0008268328594739975,0.0006724034720659153,0.00011871125908739162,0.00013434081418978568,0.000716984718257329,0.00013463181957004534,0.0019196397897892831
ics,-0.011725603418004662,0.00018237007345743456,0.0006824108416831059,0.0016787647712935862,0.0007405355375704826,0.0006724034720659153,0.0006146448808812907,9.947002460148522e-05,0.00011059578831508986,0.0005974251710319723,0.00011361999046979637,0.0016787647712935862
tm_score,-0.0021285521925653843,3.088523944636776e-05,0.00012052427767980348,0.00030860567641552585,0.00012715314050897272,0.00011871125908739162,9.947002460148522e-05,1.81064169663332e-05,1.963343208950678e-05,0.00010173743903248198,2.0859894117059337e-05,0.00030860567641552585
oligo_gdtha,-0.00229340574506448,4.2751143118371874e-05,0.00013684839486275105,0.0003117029260231591,0.00015929447283530475,0.00013434081418978568,0.00011059578831508986,1.963343208950678e-05,4.021189005370937e-05,0.00011549544696607112,2.2857640911500075e-05,0.0003117029260231591
ips,-0.012020523059976184,0.0002005213983758488,0.0007272310489602167,0.001618677598526835,0.0008233198140839126,0.000716984718257329,0.0005974251710319723,0.00010173743903248198,0.00011549544696607112,0.0007193092765576102,0.00011673611754410588,0.001618677598526835
oligo_gdtts,-0.0024557786981150567,3.566400441101269e-05,0.00013677867984829452,0.000362488799118826,0.00014807690773165907,0.00013463181957004534,0.00011361999046979637,2.0859894117059337e-05,2.2857640911500075e-05,0.00011673611754410588,2.4700651659005793e-05,0.000362488799118826
dockq_wave,-0.03633210093830414,0.00048158406348156675,0.0019493662287624824,0.005608994797186754,0.0020091276713930495,0.0019196397897892831,0.0016787647712935862,0.00030860567641552585,0.0003117029260231591,0.001618677598526835,0.000362488799118826,0.005608994797186754
