,tm_score,qs_best,ilddt,oligo_gdtts,ics,qs_global,dockq_ave,rmsd,lddt,dockq_wave,ips,oligo_gdtha
tm_score,0.00510295241466033,0.01689292688953426,0.012302835106778853,0.0011483037955355194,0.01368528264549767,0.01671503956569905,0.0009641650369331187,-0.5927080428090554,0.01704805579317453,0.0009118380759705907,0.011801810569672508,0.0008375609941788102
qs_best,0.01689292688953426,0.0904409664434404,0.05891445985346519,0.005106451237652042,0.07172685633631028,0.08965959360561196,0.005508334286484174,-2.856329801523764,0.08096779130842037,0.005143990548372334,0.06285600126591179,0.003763339714910176
ilddt,0.012302835106778853,0.05891445985346519,0.04911010798585144,0.004354058081873041,0.05174110331777896,0.05806131570267014,0.007000971478308474,-2.221778317890001,0.0637080685471832,0.007052204698867842,0.04460793658880846,0.0033109650651622557
oligo_gdtts,0.0011483037955355194,0.005106451237652042,0.004354058081873041,0.0006115295249867561,0.004476444131669975,0.0050267124731227485,0.0005968757839847931,-0.20280749464324657,0.005705464138733368,0.0005716698029520832,0.003837359884077241,0.00043579547319545845
ics,0.01368528264549767,0.07172685633631028,0.05174110331777896,0.004476444131669975,0.06096872149978571,0.07096012006950962,0.006464547086747157,-2.4285453621546287,0.06842765522645325,0.0066858243018635514,0.053215802764500025,0.003375519871905717
qs_global,0.01671503956569905,0.08965959360561196,0.05806131570267014,0.0050267124731227485,0.07096012006950962,0.08896851416234973,0.005292453153872615,-2.818932960492531,0.07994760159665709,0.004938341296230552,0.062219105498876714,0.0037005537656871848
dockq_ave,0.0009641650369331187,0.005508334286484174,0.007000971478308474,0.0005968757839847931,0.006464547086747157,0.005292453153872615,0.003232818714083466,-0.3180350777536696,0.006708259997177086,0.003016040438663651,0.005944302790223918,0.00047815765727508196
rmsd,-0.5927080428090554,-2.856329801523764,-2.221778317890001,-0.20280749464324657,-2.4285453621546287,-2.818932960492531,-0.3180350777536696,154.42221102946496,-3.144302416792058,-0.3128465926236414,-2.105592038532036,-0.15522596686461687
lddt,0.01704805579317453,0.08096779130842037,0.0637080685471832,0.005705464138733368,0.06842765522645325,0.07994760159665709,0.006708259997177086,-3.144302416792058,0.08942404925684677,0.006983641330875402,0.05805279426349764,0.004321495116787355
dockq_wave,0.0009118380759705907,0.005143990548372334,0.007052204698867842,0.0005716698029520832,0.0066858243018635514,0.004938341296230552,0.003016040438663651,-0.3128465926236414,0.006983641330875402,0.003217473181038574,0.0059915040183745995,0.00046813404733084973
ips,0.011801810569672508,0.06285600126591179,0.04460793658880846,0.003837359884077241,0.053215802764500025,0.062219105498876714,0.005944302790223918,-2.105592038532036,0.05805279426349764,0.0059915040183745995,0.04736088786226626,0.0028840130809656807
oligo_gdtha,0.0008375609941788102,0.003763339714910176,0.0033109650651622557,0.00043579547319545845,0.003375519871905717,0.0037005537656871848,0.00047815765727508196,-0.15522596686461687,0.004321495116787355,0.00046813404733084973,0.0028840130809656807,0.0003226371973234869
