model_name,dockq_ave
afm_basic_model_1_multimer_v3_pred_1.pdb,0.682
afm_basic_model_1_multimer_v3_pred_3.pdb,0.678
afm_dropout_full_model_1_multimer_v3_pred_2.pdb,0.674
afm_basic_model_1_multimer_v3_pred_0.pdb,0.67
afm_basic_model_1_multimer_v3_pred_4.pdb,0.668
afm_basic_model_4_multimer_v3_pred_0.pdb,0.668
afm_basic_model_3_multimer_v3_pred_4.pdb,0.668
afm_basic_model_2_multimer_v3_pred_0.pdb,0.667
afm_dropout_full_model_3_multimer_v3_pred_3.pdb,0.667
afm_basic_model_2_multimer_v3_pred_1.pdb,0.667
afm_basic_model_3_multimer_v3_pred_3.pdb,0.666
afm_basic_model_3_multimer_v3_pred_0.pdb,0.665
afm_basic_model_2_multimer_v3_pred_3.pdb,0.665
afm_basic_model_1_multimer_v3_pred_2.pdb,0.665
afm_basic_model_4_multimer_v3_pred_1.pdb,0.664
afm_woTemplates_model_1_multimer_v3_pred_1.pdb,0.664
afm_dropout_full_model_1_multimer_v3_pred_0.pdb,0.664
afm_dropout_full_model_1_multimer_v3_pred_4.pdb,0.663
afm_woTemplates_model_1_multimer_v3_pred_4.pdb,0.663
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_0.pdb,0.663
afm_dropout_full_model_1_multimer_v3_pred_3.pdb,0.663
afm_dropout_full_model_1_multimer_v3_pred_1.pdb,0.663
afm_woTemplates_model_1_multimer_v3_pred_0.pdb,0.662
afm_dropout_full_model_4_multimer_v3_pred_0.pdb,0.662
afm_dropout_full_model_3_multimer_v3_pred_4.pdb,0.661
afm_dropout_full_model_5_multimer_v3_pred_4.pdb,0.66
afm_dropout_full_model_2_multimer_v3_pred_4.pdb,0.66
afm_basic_model_3_multimer_v3_pred_1.pdb,0.66
afm_basic_model_3_multimer_v3_pred_2.pdb,0.66
afm_basic_model_4_multimer_v3_pred_4.pdb,0.659
afm_dropout_full_model_3_multimer_v3_pred_1.pdb,0.658
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_2.pdb,0.657
afm_basic_model_4_multimer_v3_pred_2.pdb,0.657
afm_woTemplates_model_1_multimer_v3_pred_3.pdb,0.656
afm_dropout_full_model_2_multimer_v3_pred_0.pdb,0.656
afm_dropout_full_model_4_multimer_v3_pred_4.pdb,0.655
afm_dropout_full_model_3_multimer_v3_pred_2.pdb,0.655
afm_basic_model_5_multimer_v3_pred_2.pdb,0.655
afm_basic_model_5_multimer_v3_pred_0.pdb,0.655
afm_basic_model_5_multimer_v3_pred_4.pdb,0.655
afm_dropout_full_model_4_multimer_v3_pred_2.pdb,0.654
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_3.pdb,0.654
