model_name,ics
afm_basic_model_4_multimer_v3_pred_0.pdb,0.747
afm_dropout_full_model_4_multimer_v3_pred_0.pdb,0.725
afm_dropout_full_model_4_multimer_v3_pred_1.pdb,0.725
afm_basic_model_4_multimer_v3_pred_2.pdb,0.723
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_1.pdb,0.715
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_4.pdb,0.715
afm_basic_model_4_multimer_v3_pred_4.pdb,0.711
afm_woTemplates_model_4_multimer_v3_pred_2.pdb,0.711
afm_woTemplates_model_4_multimer_v3_pred_1.pdb,0.707
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_2.pdb,0.707
afm_basic_model_4_multimer_v3_pred_3.pdb,0.707
afm_basic_model_2_multimer_v3_pred_1.pdb,0.707
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_0.pdb,0.704
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_4.pdb,0.703
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_3.pdb,0.697
afm_dropout_full_model_4_multimer_v3_pred_3.pdb,0.694
afm_dropout_full_model_1_multimer_v3_pred_4.pdb,0.683
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_3.pdb,0.683
afm_dropout_full_model_2_multimer_v3_pred_1.pdb,0.682
afm_woTemplates_model_4_multimer_v3_pred_3.pdb,0.679
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_0.pdb,0.675
afm_dropout_full_model_2_multimer_v3_pred_0.pdb,0.673
afm_basic_model_2_multimer_v3_pred_2.pdb,0.673
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_1.pdb,0.667
cf_woTemplates_model_2_multimer_v3_pred_0.pdb,0.665
afm_dropout_full_model_4_multimer_v3_pred_4.pdb,0.662
afm_woTemplates_model_2_multimer_v3_pred_4.pdb,0.661
afm_basic_model_2_multimer_v3_pred_0.pdb,0.66
afm_basic_model_5_multimer_v2_pred_0.pdb,0.659
afm_woTemplates_model_4_multimer_v3_pred_4.pdb,0.659
afm_basic_model_2_multimer_v3_pred_3.pdb,0.658
afm_basic_model_4_multimer_v3_pred_1.pdb,0.655
afm_basic_model_5_multimer_v2_pred_4.pdb,0.655
afm_woTemplates_model_2_multimer_v3_pred_1.pdb,0.654
afm_basic_model_5_multimer_v2_pred_2.pdb,0.654
afm_dropout_full_model_4_multimer_v3_pred_2.pdb,0.653
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_0.pdb,0.652
