model_name,oligo_gdtha
afm_basic_model_1_multimer_v3_pred_0.pdb,0.525
afm_basic_model_1_multimer_v3_pred_2.pdb,0.525
afm_basic_model_1_multimer_v3_pred_1.pdb,0.524
afm_basic_model_1_multimer_v3_pred_4.pdb,0.513
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_0.pdb,0.513
afm_dropout_full_model_1_multimer_v3_pred_1.pdb,0.51
afm_basic_model_1_multimer_v3_pred_3.pdb,0.507
afm_dropout_full_model_1_multimer_v3_pred_2.pdb,0.507
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_4.pdb,0.501
afm_woTemplates_model_1_multimer_v3_pred_4.pdb,0.495
afm_woTemplates_model_1_multimer_v3_pred_0.pdb,0.487
cf_woTemplates_model_1_multimer_v3_pred_3.pdb,0.487
afm_woTemplates_model_1_multimer_v3_pred_1.pdb,0.486
afm_dropout_full_model_1_multimer_v3_pred_4.pdb,0.486
afm_dropout_full_model_1_multimer_v3_pred_0.pdb,0.482
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_2.pdb,0.482
afm_woTemplates_model_1_multimer_v3_pred_2.pdb,0.478
afm_woTemplates_model_1_multimer_v3_pred_3.pdb,0.475
afm_dropout_full_model_1_multimer_v3_pred_3.pdb,0.473
afm_basic_model_4_multimer_v3_pred_0.pdb,0.471
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_3.pdb,0.466
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_4.pdb,0.464
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_2.pdb,0.463
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_3.pdb,0.461
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_3.pdb,0.46
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_0.pdb,0.459
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_0.pdb,0.459
afm_basic_model_2_multimer_v3_pred_3.pdb,0.457
afm_basic_model_2_multimer_v3_pred_0.pdb,0.455
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_1.pdb,0.455
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_2.pdb,0.451
