model_name,rmsd
afm_dropout_full_model_4_multimer_v2_pred_22.pdb,115.34
afm_woTemplates_model_4_multimer_v2_pred_41.pdb,112.051
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_43.pdb,111.402
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_5.pdb,109.712
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_44.pdb,109.247
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_65.pdb,109.229
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_6.pdb,107.234
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_52.pdb,106.036
afm_dropout_full_model_4_multimer_v2_pred_36.pdb,105.997
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_58.pdb,103.233
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_24.pdb,102.983
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_54.pdb,102.815
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_61.pdb,102.151
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_22.pdb,101.19
afm_dropout_full_model_4_multimer_v2_pred_39.pdb,100.409
afm_woTemplates_model_4_multimer_v2_pred_15.pdb,100.301
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_26.pdb,100.073
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_56.pdb,99.901
afm_dropout_full_model_4_multimer_v2_pred_64.pdb,99.174
afm_dropout_full_model_3_multimer_v2_pred_43.pdb,98.084
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_10.pdb,98.045
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_20.pdb,97.99
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_23.pdb,97.629
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_29.pdb,97.508
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_26.pdb,97.504
afm_dropout_full_model_4_multimer_v2_pred_50.pdb,97.39
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_36.pdb,97.194
afm_woTemplates_model_4_multimer_v2_pred_16.pdb,96.21
afm_dropout_full_model_4_multimer_v2_pred_16.pdb,95.742
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_64.pdb,95.387
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_9.pdb,95.054
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_12.pdb,94.966
afm_dropout_full_model_3_multimer_v2_pred_8.pdb,94.784
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_42.pdb,94.286
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_29.pdb,94.256
afm_basic_model_4_multimer_v2_pred_46.pdb,93.857
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_18.pdb,93.46
afm_dropout_full_model_4_multimer_v2_pred_7.pdb,93.437
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_25.pdb,93.341
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_36.pdb,93.308
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_41.pdb,93.134
afm_basic_model_4_multimer_v2_pred_3.pdb,93.013
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_23.pdb,92.876
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_34.pdb,92.646
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_11.pdb,92.443
afm_basic_model_4_multimer_v2_pred_53.pdb,92.027
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_28.pdb,91.931
afm_basic_model_4_multimer_v2_pred_43.pdb,91.854
afm_woTemplates_model_4_multimer_v2_pred_58.pdb,91.841
cf_woTemplates_model_4_multimer_v2_pred_41.pdb,91.434
afm_basic_model_1_multimer_v2_pred_36.pdb,91.376
afm_dropout_full_model_3_multimer_v2_pred_7.pdb,91.358
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_55.pdb,91.163
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_3.pdb,90.745
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_21.pdb,90.735
afm_woTemplates_model_4_multimer_v2_pred_42.pdb,90.463
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_48.pdb,90.211
afm_woTemplates_model_4_multimer_v2_pred_28.pdb,90.205
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_5.pdb,90.024
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_43.pdb,90.02
afm_woTemplates_model_4_multimer_v2_pred_33.pdb,89.945
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_49.pdb,89.907
afm_basic_model_1_multimer_v2_pred_35.pdb,89.808
afm_woTemplates_model_4_multimer_v2_pred_48.pdb,89.733
afm_dropout_full_model_4_multimer_v2_pred_32.pdb,89.682
afm_dropout_full_model_4_multimer_v2_pred_13.pdb,89.472
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_54.pdb,89.467
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_63.pdb,89.343
afm_dropout_full_model_4_multimer_v2_pred_6.pdb,89.128
afm_dropout_full_model_4_multimer_v2_pred_0.pdb,89.085
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_62.pdb,88.991
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_65.pdb,88.922
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_38.pdb,88.851
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_41.pdb,88.696
afm_basic_model_4_multimer_v2_pred_0.pdb,88.587
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_48.pdb,88.58
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_11.pdb,88.43
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_49.pdb,88.318
afm_woTemplates_model_1_multimer_v2_pred_33.pdb,88.253
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_19.pdb,88.221
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_54.pdb,88.141
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_47.pdb,88.052
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_0.pdb,88.039
afm_woTemplates_model_4_multimer_v2_pred_35.pdb,87.585
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_17.pdb,87.521
afm_dropout_full_model_4_multimer_v2_pred_30.pdb,87.321
afm_woTemplates_model_4_multimer_v2_pred_56.pdb,87.306
cf_woTemplates_model_4_multimer_v2_pred_15.pdb,87.271
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_33.pdb,87.066
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_18.pdb,87.008
afm_woTemplates_model_4_multimer_v2_pred_51.pdb,86.59
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_39.pdb,86.452
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_11.pdb,86.114
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_28.pdb,86.079
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_55.pdb,86.01
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_2.pdb,85.988
afm_basic_model_4_multimer_v2_pred_47.pdb,85.937
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_27.pdb,85.863
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_24.pdb,85.76
afm_basic_model_4_multimer_v2_pred_36.pdb,85.746
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_31.pdb,85.648
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_29.pdb,85.565
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_19.pdb,85.465
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_35.pdb,85.458
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_61.pdb,85.307
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_9.pdb,85.071
afm_basic_model_4_multimer_v2_pred_12.pdb,84.955
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_16.pdb,84.944
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_22.pdb,84.897
afm_dropout_full_model_3_multimer_v2_pred_59.pdb,84.797
afm_woTemplates_model_1_multimer_v2_pred_3.pdb,84.786
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_9.pdb,84.553
afm_woTemplates_model_4_multimer_v2_pred_1.pdb,84.509
afm_basic_model_4_multimer_v2_pred_21.pdb,84.387
afm_woTemplates_model_4_multimer_v2_pred_11.pdb,84.378
