model_name,tm_score
afm_basic_model_1_multimer_v3_pred_1.pdb,0.808
afm_basic_model_1_multimer_v3_pred_11.pdb,0.799
afm_basic_model_1_multimer_v3_pred_16.pdb,0.795
afm_basic_model_1_multimer_v3_pred_0.pdb,0.791
afm_basic_model_1_multimer_v3_pred_9.pdb,0.788
afm_basic_model_1_multimer_v3_pred_12.pdb,0.784
afm_basic_model_1_multimer_v3_pred_8.pdb,0.783
afm_basic_model_1_multimer_v3_pred_3.pdb,0.78
afm_basic_model_1_multimer_v3_pred_14.pdb,0.779
afm_basic_model_1_multimer_v3_pred_4.pdb,0.777
afm_basic_model_1_multimer_v3_pred_13.pdb,0.776
afm_basic_model_1_multimer_v3_pred_10.pdb,0.769
afm_basic_model_1_multimer_v3_pred_2.pdb,0.767
afm_basic_model_1_multimer_v3_pred_5.pdb,0.763
afm_dropout_full_model_1_multimer_v3_pred_11.pdb,0.762
afm_dropout_full_model_1_multimer_v3_pred_0.pdb,0.758
afm_basic_model_2_multimer_v1_pred_8.pdb,0.757
afm_dropout_full_model_2_multimer_v1_pred_8.pdb,0.756
afm_dropout_full_model_2_multimer_v3_pred_4.pdb,0.755
afm_dropout_full_model_5_multimer_v3_pred_3.pdb,0.754
afm_dropout_full_model_2_multimer_v1_pred_7.pdb,0.754
afm_dropout_full_model_2_multimer_v1_pred_10.pdb,0.754
afm_dropout_full_model_2_multimer_v1_pred_13.pdb,0.753
afm_dropout_full_model_2_multimer_v3_pred_0.pdb,0.753
afm_dropout_full_model_2_multimer_v3_pred_5.pdb,0.753
afm_dropout_full_model_2_multimer_v1_pred_12.pdb,0.753
afm_basic_model_3_multimer_v3_pred_6.pdb,0.753
afm_basic_model_2_multimer_v1_pred_7.pdb,0.752
afm_basic_model_3_multimer_v3_pred_11.pdb,0.752
afm_basic_model_3_multimer_v3_pred_0.pdb,0.752
afm_basic_model_3_multimer_v3_pred_14.pdb,0.752
afm_dropout_full_model_3_multimer_v3_pred_4.pdb,0.752
afm_dropout_full_model_5_multimer_v3_pred_6.pdb,0.752
afm_dropout_full_model_2_multimer_v1_pred_4.pdb,0.752
afm_basic_model_3_multimer_v3_pred_1.pdb,0.752
afm_basic_model_3_multimer_v3_pred_15.pdb,0.752
afm_basic_model_3_multimer_v3_pred_16.pdb,0.752
afm_basic_model_2_multimer_v1_pred_16.pdb,0.752
afm_dropout_full_model_2_multimer_v3_pred_16.pdb,0.752
afm_dropout_full_model_3_multimer_v3_pred_1.pdb,0.751
afm_basic_model_3_multimer_v3_pred_12.pdb,0.751
afm_dropout_full_model_2_multimer_v3_pred_1.pdb,0.751
afm_dropout_full_model_2_multimer_v1_pred_15.pdb,0.751
afm_basic_model_3_multimer_v3_pred_13.pdb,0.751
afm_basic_model_3_multimer_v3_pred_9.pdb,0.751
afm_dropout_full_model_3_multimer_v3_pred_15.pdb,0.751
afm_dropout_full_model_2_multimer_v1_pred_0.pdb,0.751
afm_basic_model_2_multimer_v1_pred_9.pdb,0.751
afm_dropout_full_model_2_multimer_v1_pred_1.pdb,0.751
afm_dropout_full_model_3_multimer_v3_pred_5.pdb,0.751
afm_basic_model_3_multimer_v3_pred_2.pdb,0.751
afm_basic_model_3_multimer_v3_pred_5.pdb,0.751
afm_dropout_full_model_3_multimer_v3_pred_6.pdb,0.751
afm_dropout_full_model_5_multimer_v3_pred_5.pdb,0.751
afm_dropout_full_model_3_multimer_v3_pred_0.pdb,0.751
afm_dropout_full_model_3_multimer_v3_pred_16.pdb,0.75
afm_basic_model_3_multimer_v3_pred_10.pdb,0.75
afm_dropout_full_model_3_multimer_v3_pred_10.pdb,0.75
afm_dropout_full_model_3_multimer_v3_pred_12.pdb,0.75
afm_basic_model_4_multimer_v3_pred_4.pdb,0.75
afm_basic_model_3_multimer_v3_pred_4.pdb,0.75
