model_name,ips
afm_woTemplates_model_1_multimer_v1_pred_2.pdb,0.829
afm_woTemplates_model_2_multimer_v2_pred_64.pdb,0.828
afm_woTemplates_model_2_multimer_v3_pred_50.pdb,0.826
afm_basic_model_2_multimer_v3_pred_37.pdb,0.825
afm_basic_model_2_multimer_v3_pred_46.pdb,0.82
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_39.pdb,0.82
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_20.pdb,0.818
afm_woTemplates_model_2_multimer_v3_pred_45.pdb,0.818
afm_basic_model_2_multimer_v2_pred_21.pdb,0.816
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_36.pdb,0.816
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_28.pdb,0.816
afm_dropout_full_model_1_multimer_v1_pred_50.pdb,0.815
afm_woTemplates_model_2_multimer_v3_pred_5.pdb,0.813
afm_dropout_full_model_1_multimer_v2_pred_33.pdb,0.813
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_59.pdb,0.813
afm_woTemplates_model_2_multimer_v3_pred_39.pdb,0.813
afm_basic_model_5_multimer_v3_pred_23.pdb,0.811
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_27.pdb,0.811
afm_basic_model_2_multimer_v3_pred_0.pdb,0.81
afm_basic_model_5_multimer_v2_pred_40.pdb,0.81
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_33.pdb,0.81
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_14.pdb,0.81
afm_dropout_full_model_2_multimer_v3_pred_42.pdb,0.81
afm_basic_model_5_multimer_v2_pred_60.pdb,0.81
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_30.pdb,0.81
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_18.pdb,0.81
afm_dropout_full_model_5_multimer_v2_pred_9.pdb,0.81
afm_basic_model_5_multimer_v2_pred_46.pdb,0.81
afm_woTemplates_model_5_multimer_v2_pred_22.pdb,0.81
afm_basic_model_5_multimer_v2_pred_15.pdb,0.81
afm_basic_model_5_multimer_v2_pred_38.pdb,0.81
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_13.pdb,0.81
afm_basic_model_5_multimer_v2_pred_59.pdb,0.81
afm_woTemplates_model_5_multimer_v2_pred_64.pdb,0.81
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_26.pdb,0.81
afm_dropout_full_model_5_multimer_v2_pred_63.pdb,0.81
afm_basic_model_5_multimer_v2_pred_54.pdb,0.81
afm_basic_model_5_multimer_v2_pred_14.pdb,0.81
afm_woTemplates_model_5_multimer_v2_pred_37.pdb,0.81
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_10.pdb,0.81
afm_basic_model_5_multimer_v2_pred_65.pdb,0.81
afm_basic_model_5_multimer_v2_pred_35.pdb,0.81
afm_woTemplates_model_5_multimer_v2_pred_9.pdb,0.81
afm_basic_model_2_multimer_v3_pred_18.pdb,0.81
afm_dropout_full_model_5_multimer_v2_pred_64.pdb,0.81
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_40.pdb,0.81
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_44.pdb,0.81
afm_basic_model_5_multimer_v2_pred_56.pdb,0.81
afm_basic_model_5_multimer_v2_pred_16.pdb,0.81
afm_basic_model_5_multimer_v2_pred_3.pdb,0.808
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_38.pdb,0.808
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_37.pdb,0.808
