model_name,ilddt
afm_woTemplates_model_5_multimer_v2_pred_14.pdb,0.916
afm_basic_model_5_multimer_v2_pred_4.pdb,0.916
afm_basic_model_5_multimer_v2_pred_20.pdb,0.915
afm_woTemplates_model_5_multimer_v2_pred_51.pdb,0.915
afm_dropout_full_model_5_multimer_v2_pred_65.pdb,0.915
afm_woTemplates_model_1_multimer_v2_pred_17.pdb,0.915
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_42.pdb,0.915
afm_basic_model_5_multimer_v2_pred_65.pdb,0.915
afm_woTemplates_model_5_multimer_v2_pred_33.pdb,0.915
afm_dropout_full_model_5_multimer_v2_pred_52.pdb,0.915
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_22.pdb,0.915
afm_woTemplates_model_5_multimer_v2_pred_27.pdb,0.914
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_64.pdb,0.914
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_22.pdb,0.914
afm_basic_model_5_multimer_v2_pred_9.pdb,0.914
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_62.pdb,0.914
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_29.pdb,0.914
afm_woTemplates_model_5_multimer_v2_pred_65.pdb,0.914
afm_basic_model_5_multimer_v2_pred_66.pdb,0.914
afm_woTemplates_model_5_multimer_v2_pred_35.pdb,0.914
afm_dropout_full_model_1_multimer_v2_pred_56.pdb,0.914
afm_woTemplates_model_5_multimer_v2_pred_32.pdb,0.914
afm_basic_model_5_multimer_v2_pred_29.pdb,0.914
afm_basic_model_1_multimer_v2_pred_56.pdb,0.914
afm_woTemplates_model_5_multimer_v2_pred_4.pdb,0.914
afm_woTemplates_model_5_multimer_v2_pred_16.pdb,0.914
afm_dropout_full_model_5_multimer_v2_pred_66.pdb,0.914
afm_basic_model_5_multimer_v2_pred_21.pdb,0.913
afm_basic_model_5_multimer_v2_pred_40.pdb,0.913
afm_woTemplates_model_5_multimer_v2_pred_5.pdb,0.913
afm_basic_model_5_multimer_v2_pred_37.pdb,0.913
afm_basic_model_5_multimer_v2_pred_60.pdb,0.913
afm_woTemplates_model_1_multimer_v2_pred_7.pdb,0.913
afm_basic_model_5_multimer_v1_pred_32.pdb,0.913
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_66.pdb,0.913
afm_basic_model_5_multimer_v2_pred_14.pdb,0.913
afm_woTemplates_model_5_multimer_v2_pred_1.pdb,0.913
