model_name,oligo_gdtha
afm_basic_model_3_multimer_v3_pred_62.pdb,0.334
afm_basic_model_3_multimer_v3_pred_21.pdb,0.33
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_18.pdb,0.329
afm_basic_model_3_multimer_v3_pred_45.pdb,0.326
afm_basic_model_3_multimer_v3_pred_10.pdb,0.326
afm_basic_model_3_multimer_v3_pred_1.pdb,0.325
afm_basic_model_3_multimer_v3_pred_9.pdb,0.325
afm_basic_model_3_multimer_v3_pred_40.pdb,0.324
afm_basic_model_3_multimer_v3_pred_20.pdb,0.323
afm_basic_model_3_multimer_v3_pred_42.pdb,0.323
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_15.pdb,0.322
afm_basic_model_3_multimer_v3_pred_12.pdb,0.322
afm_woTemplates_model_5_multimer_v3_pred_28.pdb,0.321
afm_basic_model_3_multimer_v3_pred_16.pdb,0.321
afm_basic_model_3_multimer_v3_pred_48.pdb,0.32
afm_woTemplates_model_5_multimer_v3_pred_60.pdb,0.32
afm_basic_model_3_multimer_v3_pred_49.pdb,0.319
afm_basic_model_3_multimer_v3_pred_35.pdb,0.317
afm_basic_model_3_multimer_v3_pred_59.pdb,0.315
afm_basic_model_3_multimer_v3_pred_11.pdb,0.315
afm_basic_model_3_multimer_v3_pred_33.pdb,0.313
afm_basic_model_3_multimer_v3_pred_19.pdb,0.312
afm_basic_model_3_multimer_v3_pred_18.pdb,0.312
afm_basic_model_3_multimer_v3_pred_39.pdb,0.312
afm_basic_model_3_multimer_v3_pred_38.pdb,0.312
afm_basic_model_3_multimer_v3_pred_6.pdb,0.312
afm_basic_model_3_multimer_v3_pred_29.pdb,0.311
afm_basic_model_3_multimer_v3_pred_22.pdb,0.311
afm_basic_model_3_multimer_v3_pred_17.pdb,0.31
afm_basic_model_3_multimer_v3_pred_46.pdb,0.31
afm_basic_model_3_multimer_v3_pred_41.pdb,0.309
afm_basic_model_3_multimer_v3_pred_53.pdb,0.308
afm_basic_model_3_multimer_v3_pred_47.pdb,0.308
afm_basic_model_3_multimer_v3_pred_66.pdb,0.308
afm_basic_model_3_multimer_v3_pred_27.pdb,0.305
afm_basic_model_3_multimer_v3_pred_7.pdb,0.305
afm_basic_model_3_multimer_v3_pred_34.pdb,0.305
afm_basic_model_3_multimer_v3_pred_28.pdb,0.305
afm_basic_model_3_multimer_v3_pred_65.pdb,0.303
afm_basic_model_3_multimer_v3_pred_51.pdb,0.301
afm_basic_model_3_multimer_v3_pred_5.pdb,0.301
afm_basic_model_3_multimer_v3_pred_37.pdb,0.301
afm_basic_model_3_multimer_v3_pred_4.pdb,0.301
afm_basic_model_3_multimer_v3_pred_3.pdb,0.3
afm_basic_model_3_multimer_v3_pred_55.pdb,0.3
afm_basic_model_3_multimer_v3_pred_56.pdb,0.299
afm_basic_model_5_multimer_v2_pred_20.pdb,0.298
afm_basic_model_3_multimer_v3_pred_0.pdb,0.297
afm_basic_model_3_multimer_v3_pred_24.pdb,0.297
cf_woTemplates_model_1_multimer_v2_pred_46.pdb,0.296
afm_basic_model_3_multimer_v3_pred_14.pdb,0.296
afm_basic_model_5_multimer_v2_pred_3.pdb,0.296
afm_basic_model_3_multimer_v3_pred_43.pdb,0.296
afm_basic_model_1_multimer_v2_pred_60.pdb,0.294
afm_basic_model_3_multimer_v3_pred_30.pdb,0.294
afm_basic_model_3_multimer_v3_pred_15.pdb,0.294
afm_basic_model_3_multimer_v3_pred_58.pdb,0.292
afm_basic_model_3_multimer_v3_pred_63.pdb,0.291
afm_basic_model_1_multimer_v2_pred_37.pdb,0.291
afm_basic_model_1_multimer_v2_pred_58.pdb,0.29
afm_woTemplates_model_4_multimer_v3_pred_47.pdb,0.29
afm_basic_model_3_multimer_v3_pred_54.pdb,0.29
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_41.pdb,0.289
afm_basic_model_1_multimer_v2_pred_36.pdb,0.289
afm_basic_model_1_multimer_v2_pred_23.pdb,0.289
afm_basic_model_3_multimer_v3_pred_31.pdb,0.289
afm_woTemplates_model_1_multimer_v2_pred_22.pdb,0.289
afm_basic_model_3_multimer_v3_pred_25.pdb,0.289
afm_basic_model_1_multimer_v2_pred_19.pdb,0.288
afm_dropout_full_model_1_multimer_v2_pred_17.pdb,0.288
afm_basic_model_1_multimer_v2_pred_50.pdb,0.288
afm_basic_model_1_multimer_v2_pred_39.pdb,0.288
afm_basic_model_3_multimer_v3_pred_36.pdb,0.287
afm_basic_model_3_multimer_v3_pred_57.pdb,0.287
afm_basic_model_1_multimer_v2_pred_56.pdb,0.287
afm_basic_model_3_multimer_v3_pred_61.pdb,0.287
afm_basic_model_3_multimer_v2_pred_20.pdb,0.287
