model_name,rmsd
cf_dropout_full_woTemplates_model_2_ptm_pred_43.pdb,8.511
afm_dropout_full_woTemplates_model_2_ptm_pred_35.pdb,8.257
cf_dropout_full_woTemplates_model_1_ptm_pred_33.pdb,8.169
afm_dropout_noSM_woTemplates_model_4_ptm_pred_3.pdb,8.154
afm_dropout_full_woTemplates_r3_model_2_ptm_pred_11.pdb,8.101
cf_dropout_full_woTemplates_model_2_ptm_pred_61.pdb,8.093
afm_dropout_noSM_woTemplates_model_2_ptm_pred_35.pdb,8.08
afm_dropout_noSM_woTemplates_model_1_ptm_pred_1.pdb,8.019
afm_dropout_full_woTemplates_r3_model_1_ptm_pred_58.pdb,7.97
cf_dropout_full_woTemplates_model_1_ptm_pred_2.pdb,7.915
afm_dropout_noSM_woTemplates_model_1_ptm_pred_22.pdb,7.9
afm_dropout_full_model_1_ptm_pred_6.pdb,7.86
afm_dropout_full_woTemplates_r3_model_1_ptm_pred_52.pdb,7.86
afm_dropout_full_woTemplates_r3_model_3_ptm_pred_24.pdb,7.759
cf_dropout_full_woTemplates_model_1_ptm_pred_44.pdb,7.72
afm_dropout_full_model_2_ptm_pred_16.pdb,7.554
afm_dropout_full_woTemplates_r3_model_1_ptm_pred_56.pdb,7.435
afm_dropout_full_woTemplates_model_4_ptm_pred_65.pdb,7.417
afm_dropout_full_model_4_ptm_pred_1.pdb,7.389
cf_woTemplates_model_4_ptm_pred_47.pdb,7.34
cf_dropout_full_woTemplates_model_4_ptm_pred_9.pdb,7.334
afm_dropout_full_woTemplates_model_4_ptm_pred_20.pdb,7.33
afm_dropout_full_model_4_ptm_pred_8.pdb,7.319
afm_dropout_full_woTemplates_model_4_ptm_pred_43.pdb,7.296
afm_dropout_full_model_4_ptm_pred_32.pdb,7.287
afm_dropout_noSM_woTemplates_model_4_ptm_pred_15.pdb,7.283
afm_dropout_full_model_4_ptm_pred_48.pdb,7.273
cf_dropout_full_woTemplates_model_4_ptm_pred_38.pdb,7.248
afm_dropout_full_model_4_ptm_pred_56.pdb,7.222
afm_dropout_full_model_4_ptm_pred_23.pdb,7.182
afm_dropout_full_woTemplates_model_4_ptm_pred_50.pdb,7.18
cf_dropout_full_woTemplates_model_4_ptm_pred_41.pdb,7.177
cf_dropout_full_woTemplates_model_4_ptm_pred_27.pdb,7.165
afm_dropout_full_model_4_ptm_pred_0.pdb,7.155
afm_dropout_noSM_woTemplates_model_4_ptm_pred_45.pdb,7.141
cf_woTemplates_model_4_ptm_pred_0.pdb,7.139
afm_dropout_full_model_4_ptm_pred_64.pdb,7.117
afm_dropout_noSM_woTemplates_model_4_ptm_pred_38.pdb,7.115
afm_dropout_full_woTemplates_model_4_ptm_pred_39.pdb,7.108
afm_dropout_full_woTemplates_model_4_ptm_pred_34.pdb,7.106
cf_dropout_full_woTemplates_model_4_ptm_pred_26.pdb,7.104
cf_dropout_full_woTemplates_model_4_ptm_pred_43.pdb,7.097
cf_dropout_full_woTemplates_model_4_ptm_pred_59.pdb,7.089
afm_dropout_noSM_woTemplates_model_4_ptm_pred_63.pdb,7.08
afm_dropout_full_model_2_ptm_pred_48.pdb,7.076
afm_dropout_full_model_4_ptm_pred_16.pdb,7.07
afm_dropout_full_woTemplates_model_4_ptm_pred_18.pdb,7.062
afm_dropout_full_model_4_ptm_pred_62.pdb,7.061
afm_dropout_full_model_4_ptm_pred_39.pdb,7.056
afm_dropout_full_model_4_ptm_pred_36.pdb,7.051
cf_dropout_full_woTemplates_model_4_ptm_pred_13.pdb,7.05
afm_dropout_full_woTemplates_model_4_ptm_pred_17.pdb,7.048
afm_dropout_full_model_4_ptm_pred_43.pdb,7.045
cf_dropout_full_woTemplates_model_4_ptm_pred_20.pdb,7.04
cf_woTemplates_model_4_ptm_pred_13.pdb,7.038
afm_dropout_full_model_4_ptm_pred_46.pdb,7.031
afm_dropout_noSM_woTemplates_model_4_ptm_pred_1.pdb,7.028
afm_dropout_noSM_woTemplates_model_4_ptm_pred_20.pdb,7.02
afm_basic_model_4_ptm_pred_28.pdb,7.019
afm_dropout_noSM_woTemplates_model_4_ptm_pred_11.pdb,7.017
cf_dropout_full_woTemplates_model_4_ptm_pred_30.pdb,7.012
afm_dropout_full_woTemplates_model_4_ptm_pred_61.pdb,7.009
cf_woTemplates_model_4_ptm_pred_57.pdb,7.007
afm_woTemplates_model_4_ptm_pred_49.pdb,7.005
afm_dropout_noSM_woTemplates_model_4_ptm_pred_59.pdb,7.001
cf_woTemplates_model_4_ptm_pred_5.pdb,6.999
afm_dropout_noSM_woTemplates_model_4_ptm_pred_48.pdb,6.99
cf_woTemplates_model_4_ptm_pred_8.pdb,6.989
cf_woTemplates_model_4_ptm_pred_3.pdb,6.988
cf_woTemplates_model_4_ptm_pred_35.pdb,6.983
cf_woTemplates_model_4_ptm_pred_7.pdb,6.982
afm_dropout_full_woTemplates_model_4_ptm_pred_27.pdb,6.981
afm_dropout_full_model_4_ptm_pred_31.pdb,6.98
afm_dropout_full_model_4_ptm_pred_12.pdb,6.98
afm_dropout_full_woTemplates_model_4_ptm_pred_56.pdb,6.972
afm_dropout_full_model_4_ptm_pred_28.pdb,6.969
afm_dropout_full_woTemplates_model_4_ptm_pred_41.pdb,6.969
afm_dropout_full_model_4_ptm_pred_22.pdb,6.966
afm_dropout_noSM_woTemplates_model_4_ptm_pred_7.pdb,6.964
cf_woTemplates_model_4_ptm_pred_44.pdb,6.952
afm_dropout_full_model_4_ptm_pred_17.pdb,6.949
cf_woTemplates_model_4_ptm_pred_9.pdb,6.946
cf_woTemplates_model_4_ptm_pred_4.pdb,6.945
afm_dropout_full_woTemplates_model_4_ptm_pred_4.pdb,6.942
afm_dropout_noSM_woTemplates_model_4_ptm_pred_24.pdb,6.94
afm_dropout_noSM_woTemplates_model_4_ptm_pred_33.pdb,6.937
afm_dropout_full_woTemplates_model_4_ptm_pred_37.pdb,6.928
cf_dropout_full_woTemplates_model_4_ptm_pred_29.pdb,6.924
afm_dropout_full_woTemplates_model_4_ptm_pred_38.pdb,6.923
cf_woTemplates_model_4_ptm_pred_45.pdb,6.923
cf_woTemplates_model_4_ptm_pred_18.pdb,6.919
cf_woTemplates_model_4_ptm_pred_21.pdb,6.919
cf_woTemplates_model_4_ptm_pred_12.pdb,6.915
afm_dropout_full_woTemplates_model_4_ptm_pred_44.pdb,6.914
afm_dropout_full_model_4_ptm_pred_34.pdb,6.909
cf_dropout_full_woTemplates_model_4_ptm_pred_11.pdb,6.906
afm_woTemplates_model_4_ptm_pred_37.pdb,6.902
afm_dropout_full_woTemplates_model_4_ptm_pred_55.pdb,6.902
afm_dropout_noSM_woTemplates_model_4_ptm_pred_36.pdb,6.902
cf_woTemplates_model_4_ptm_pred_38.pdb,6.898
cf_dropout_full_woTemplates_model_4_ptm_pred_22.pdb,6.897
afm_dropout_noSM_woTemplates_model_4_ptm_pred_66.pdb,6.896
afm_dropout_full_model_4_ptm_pred_30.pdb,6.888
afm_dropout_full_woTemplates_model_4_ptm_pred_11.pdb,6.884
cf_woTemplates_model_4_ptm_pred_64.pdb,6.883
afm_dropout_noSM_woTemplates_model_4_ptm_pred_17.pdb,6.881
cf_woTemplates_model_4_ptm_pred_27.pdb,6.88
afm_dropout_full_woTemplates_model_4_ptm_pred_9.pdb,6.879
cf_dropout_full_woTemplates_model_4_ptm_pred_58.pdb,6.876
afm_dropout_noSM_woTemplates_model_4_ptm_pred_13.pdb,6.871
cf_woTemplates_model_4_ptm_pred_65.pdb,6.869
afm_dropout_full_woTemplates_r3_model_4_ptm_pred_5.pdb,6.856
cf_woTemplates_model_4_ptm_pred_19.pdb,6.851
afm_dropout_full_model_4_ptm_pred_15.pdb,6.85
afm_dropout_full_model_4_ptm_pred_27.pdb,6.85
cf_dropout_full_woTemplates_model_4_ptm_pred_55.pdb,6.843
afm_dropout_full_woTemplates_r3_model_4_ptm_pred_49.pdb,6.838
cf_woTemplates_model_4_ptm_pred_36.pdb,6.837
cf_woTemplates_model_4_ptm_pred_32.pdb,6.835
afm_dropout_full_model_4_ptm_pred_38.pdb,6.834
cf_woTemplates_model_4_ptm_pred_10.pdb,6.834
afm_dropout_full_model_4_ptm_pred_10.pdb,6.833
cf_dropout_full_woTemplates_model_4_ptm_pred_42.pdb,6.831
afm_dropout_full_model_4_ptm_pred_5.pdb,6.83
afm_dropout_full_woTemplates_model_4_ptm_pred_63.pdb,6.827
afm_dropout_noSM_woTemplates_model_4_ptm_pred_32.pdb,6.825
afm_dropout_noSM_woTemplates_model_4_ptm_pred_56.pdb,6.821
afm_dropout_noSM_woTemplates_model_4_ptm_pred_47.pdb,6.817
cf_woTemplates_model_4_ptm_pred_56.pdb,6.815
