model_name,tm_score
cf_dropout_full_woTemplates_model_4_ptm_pred_27.pdb,0.743
cf_woTemplates_model_4_ptm_pred_62.pdb,0.743
cf_woTemplates_model_4_ptm_pred_50.pdb,0.741
cf_woTemplates_model_4_ptm_pred_22.pdb,0.74
cf_dropout_full_woTemplates_model_4_ptm_pred_51.pdb,0.731
cf_woTemplates_model_5_ptm_pred_37.pdb,0.73
cf_woTemplates_model_1_ptm_pred_53.pdb,0.726
cf_woTemplates_model_1_ptm_pred_56.pdb,0.725
cf_woTemplates_model_5_ptm_pred_47.pdb,0.725
cf_woTemplates_model_1_ptm_pred_34.pdb,0.725
cf_woTemplates_model_5_ptm_pred_63.pdb,0.724
cf_woTemplates_model_5_ptm_pred_56.pdb,0.724
cf_dropout_full_woTemplates_model_1_ptm_pred_11.pdb,0.724
cf_woTemplates_model_1_ptm_pred_43.pdb,0.724
cf_woTemplates_model_5_ptm_pred_0.pdb,0.723
cf_woTemplates_model_5_ptm_pred_8.pdb,0.722
cf_dropout_full_woTemplates_model_1_ptm_pred_66.pdb,0.722
cf_woTemplates_model_1_ptm_pred_49.pdb,0.722
cf_woTemplates_model_5_ptm_pred_22.pdb,0.722
cf_woTemplates_model_5_ptm_pred_7.pdb,0.722
cf_dropout_full_woTemplates_model_5_ptm_pred_33.pdb,0.721
cf_woTemplates_model_5_ptm_pred_5.pdb,0.721
cf_woTemplates_model_5_ptm_pred_18.pdb,0.721
cf_dropout_full_woTemplates_model_5_ptm_pred_21.pdb,0.721
cf_dropout_full_woTemplates_model_1_ptm_pred_43.pdb,0.721
cf_woTemplates_model_5_ptm_pred_29.pdb,0.721
cf_dropout_full_woTemplates_model_5_ptm_pred_65.pdb,0.721
cf_dropout_full_woTemplates_model_5_ptm_pred_51.pdb,0.721
cf_woTemplates_model_5_ptm_pred_15.pdb,0.721
cf_dropout_full_woTemplates_model_5_ptm_pred_23.pdb,0.721
cf_woTemplates_model_5_ptm_pred_19.pdb,0.721
cf_dropout_full_woTemplates_model_5_ptm_pred_13.pdb,0.72
cf_dropout_full_woTemplates_model_5_ptm_pred_64.pdb,0.72
cf_woTemplates_model_5_ptm_pred_17.pdb,0.72
cf_dropout_full_woTemplates_model_1_ptm_pred_28.pdb,0.72
cf_woTemplates_model_5_ptm_pred_45.pdb,0.72
cf_woTemplates_model_5_ptm_pred_32.pdb,0.72
cf_woTemplates_model_5_ptm_pred_39.pdb,0.72
cf_dropout_full_woTemplates_model_5_ptm_pred_31.pdb,0.72
cf_dropout_full_woTemplates_model_5_ptm_pred_58.pdb,0.719
cf_woTemplates_model_5_ptm_pred_33.pdb,0.719
