model_name,rmsd
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_46.pdb,70.82
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_59.pdb,68.983
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_0.pdb,68.443
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_42.pdb,67.978
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_8.pdb,67.643
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_22.pdb,66.598
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_51.pdb,66.597
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_14.pdb,65.746
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_24.pdb,65.59
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_53.pdb,65.091
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_7.pdb,64.923
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_52.pdb,64.796
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_15.pdb,64.323
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_7.pdb,64.004
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_36.pdb,63.98
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_35.pdb,63.779
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_58.pdb,63.592
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_36.pdb,63.438
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_11.pdb,63.123
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_54.pdb,63.12
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_5.pdb,63.094
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_66.pdb,63.034
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_27.pdb,63.023
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_8.pdb,63.019
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_35.pdb,62.85
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_29.pdb,62.689
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_4.pdb,62.495
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_63.pdb,62.485
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_4.pdb,62.405
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_26.pdb,62.326
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_10.pdb,62.299
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_28.pdb,62.091
afm_woTemplates_model_1_multimer_v2_pred_52.pdb,62.054
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_37.pdb,61.986
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_5.pdb,61.981
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_33.pdb,61.977
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_28.pdb,61.547
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_62.pdb,61.542
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_50.pdb,61.51
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_42.pdb,61.463
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_44.pdb,61.46
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_20.pdb,61.44
afm_dropout_full_woTemplates_r3_model_2_multimer_v2_pred_55.pdb,61.373
