model_name,ilddt
afm_dropout_full_model_5_multimer_v1_pred_32.pdb,0.855
afm_dropout_full_model_4_multimer_v1_pred_46.pdb,0.854
afm_basic_model_5_multimer_v1_pred_66.pdb,0.854
afm_basic_model_5_multimer_v1_pred_9.pdb,0.854
afm_basic_model_5_multimer_v1_pred_46.pdb,0.854
afm_dropout_full_model_5_multimer_v1_pred_34.pdb,0.853
afm_dropout_full_model_5_multimer_v1_pred_20.pdb,0.853
afm_basic_model_5_multimer_v1_pred_63.pdb,0.853
afm_basic_model_5_multimer_v1_pred_3.pdb,0.852
afm_dropout_full_model_5_multimer_v1_pred_30.pdb,0.852
afm_basic_model_5_multimer_v1_pred_26.pdb,0.852
afm_basic_model_5_multimer_v1_pred_57.pdb,0.851
afm_dropout_full_model_5_multimer_v1_pred_6.pdb,0.851
afm_basic_model_5_multimer_v1_pred_50.pdb,0.851
afm_basic_model_5_multimer_v1_pred_55.pdb,0.851
afm_dropout_full_model_5_multimer_v1_pred_10.pdb,0.85
afm_basic_model_5_multimer_v1_pred_52.pdb,0.85
afm_dropout_full_model_5_multimer_v1_pred_57.pdb,0.85
afm_dropout_full_model_5_multimer_v1_pred_52.pdb,0.85
afm_basic_model_5_multimer_v1_pred_32.pdb,0.85
afm_basic_model_5_multimer_v1_pred_49.pdb,0.85
afm_basic_model_5_multimer_v1_pred_7.pdb,0.85
afm_basic_model_5_multimer_v1_pred_62.pdb,0.85
afm_dropout_full_model_5_multimer_v1_pred_46.pdb,0.85
afm_dropout_full_model_5_multimer_v1_pred_12.pdb,0.85
afm_basic_model_5_multimer_v1_pred_4.pdb,0.85
afm_basic_model_5_multimer_v1_pred_2.pdb,0.85
afm_dropout_full_model_5_multimer_v1_pred_63.pdb,0.85
afm_basic_model_5_multimer_v1_pred_17.pdb,0.849
afm_dropout_full_model_4_multimer_v1_pred_27.pdb,0.849
afm_basic_model_5_multimer_v1_pred_18.pdb,0.849
afm_dropout_full_model_5_multimer_v1_pred_16.pdb,0.849
afm_basic_model_5_multimer_v1_pred_22.pdb,0.849
afm_basic_model_5_multimer_v1_pred_35.pdb,0.849
afm_dropout_full_model_5_multimer_v1_pred_45.pdb,0.849
afm_basic_model_5_multimer_v1_pred_13.pdb,0.849
afm_basic_model_1_multimer_v1_pred_14.pdb,0.849
afm_basic_model_5_multimer_v1_pred_6.pdb,0.849
afm_basic_model_5_multimer_v1_pred_15.pdb,0.849
afm_basic_model_5_multimer_v1_pred_64.pdb,0.849
afm_dropout_full_model_5_multimer_v1_pred_62.pdb,0.849
afm_dropout_full_model_4_multimer_v1_pred_31.pdb,0.849
afm_dropout_full_model_5_multimer_v1_pred_60.pdb,0.849
afm_basic_model_5_multimer_v1_pred_30.pdb,0.849
afm_basic_model_5_multimer_v1_pred_1.pdb,0.849
afm_basic_model_5_multimer_v1_pred_16.pdb,0.848
afm_dropout_full_model_5_multimer_v1_pred_3.pdb,0.848
afm_dropout_full_model_5_multimer_v1_pred_19.pdb,0.848
