model_name,rmsd
afm_dropout_noSM_woTemplates_model_4_ptm_pred_82.pdb,53.498
afm_dropout_full_model_4_ptm_pred_110.pdb,53.464
afm_dropout_noSM_woTemplates_model_5_ptm_pred_184.pdb,53.453
afm_dropout_noSM_woTemplates_model_5_ptm_pred_44.pdb,53.452
afm_dropout_full_woTemplates_model_4_ptm_pred_178.pdb,53.447
afm_basic_model_5_ptm_pred_52.pdb,53.444
afm_basic_model_5_ptm_pred_175.pdb,53.442
afm_dropout_full_woTemplates_model_4_ptm_pred_145.pdb,53.441
afm_basic_model_5_ptm_pred_153.pdb,53.44
afm_dropout_noSM_woTemplates_model_4_ptm_pred_125.pdb,53.439
afm_basic_model_5_ptm_pred_155.pdb,53.437
afm_basic_model_5_ptm_pred_116.pdb,53.433
afm_woTemplates_model_5_ptm_pred_45.pdb,53.43
afm_basic_model_5_ptm_pred_190.pdb,53.429
afm_woTemplates_model_5_ptm_pred_153.pdb,53.428
afm_woTemplates_model_5_ptm_pred_93.pdb,53.427
afm_woTemplates_model_5_ptm_pred_13.pdb,53.427
afm_woTemplates_model_2_ptm_pred_52.pdb,53.42
afm_woTemplates_model_5_ptm_pred_66.pdb,53.419
afm_woTemplates_model_4_ptm_pred_45.pdb,53.419
afm_basic_model_5_ptm_pred_36.pdb,53.419
afm_basic_model_5_ptm_pred_50.pdb,53.419
afm_dropout_full_model_4_ptm_pred_143.pdb,53.418
afm_dropout_noSM_woTemplates_model_4_ptm_pred_77.pdb,53.417
afm_basic_model_5_ptm_pred_34.pdb,53.415
afm_dropout_full_woTemplates_model_4_ptm_pred_98.pdb,53.413
afm_dropout_full_woTemplates_model_4_ptm_pred_119.pdb,53.413
afm_dropout_full_model_4_ptm_pred_149.pdb,53.413
afm_basic_model_4_ptm_pred_159.pdb,53.412
afm_woTemplates_model_4_ptm_pred_132.pdb,53.411
afm_basic_model_5_ptm_pred_124.pdb,53.41
afm_dropout_full_woTemplates_model_4_ptm_pred_127.pdb,53.409
afm_dropout_full_woTemplates_model_4_ptm_pred_158.pdb,53.408
afm_basic_model_5_ptm_pred_144.pdb,53.407
afm_dropout_full_woTemplates_model_4_ptm_pred_26.pdb,53.406
afm_basic_model_5_ptm_pred_59.pdb,53.406
afm_basic_model_5_ptm_pred_104.pdb,53.405
afm_basic_model_5_ptm_pred_33.pdb,53.404
afm_woTemplates_model_5_ptm_pred_176.pdb,53.404
